Index,Name,ISIN
MDAX,RATIONAL,DE0007010803
MDAX,RHEINMETALL,DE0007030009
MDAX,SARTORIUS AG VZO O.N.,DE0007165631
MDAX,SCOUT24 AG NA O.N.,DE000A12DM80
MDAX,SHOP APOTHEKE EUROPE INH.,NL0012044747
MDAX,SIEMENS HEALTH.AG NA O.N.,DE000SHL1006
MDAX,SILTRONIC AG NA O.N.,DE000WAF3001
MDAX,SOFTWARE AG NA O.N.,DE000A2GS401
MDAX,STROEER SE + CO. KGAA,DE0007493991
MDAX,SYMRISE,DE000SYM9999
MDAX,TAG IMMOBILIEN,DE0008303504
MDAX,TEAMVIEWER AG INH O.N.,DE000A2YN900
MDAX,TELEFONICA DTLD HLDG NA,DE000A1J5RX9
MDAX,THYSSENKRUPP,DE0007500001
MDAX,UNIPER SE NA O.N.,DE000UNSE018
MDAX,UTD.INTERNET,DE0005089031
MDAX,VARTA AG O.N.,DE000A0TGJ55
MDAX,WACKER CHEM.,DE000WCH8881
MDAX,ZALANDO SE,DE000ZAL1111
SDAX,1+1 DRILLISCH AG O.N.,DE0005545503
SDAX,AAREAL BANK,DE0005408116
SDAX,ADLER GROUP S.A. NPV,LU1250154413
SDAX,ADVA,DE0005103006
SDAX,AMADEUS FIRE AG,DE0005093108
SDAX,AUTO1 GROUP SE INH O.N.,DE000A2LQ884
SDAX,Baywa ST,DE0005194062
SDAX,BEFESA S.A. ORD. O.N.,LU1704650164
SDAX,BILFINGER,DE0005909006
SDAX,BORUSSIA DORTMUND,DE0005493092
SDAX,CECONOMY ST,DE0007257503
SDAX,CEWE STIFT.KGAA O.N.,DE0005403901
SDAX,CORESTATE CAPITAL HLDG,LU1296758029
SDAX,DERMAPHARM HLDG INH O.N.,DE000A2GS5D8
SDAX,DEUTZ,DE0006305006
SDAX,DIC ASSET AG NA O.N.,DE000A1X3XX4
SDAX,DRAEGERWERK VZO O.N.,DE0005550636
SDAX,DT. EUROSHOP,DE0007480204
SDAX,DT. PFANDBRIEFBK AG,DE0008019001
SDAX,DWS GROUP GMBH+CO.KGAA ON,DE000DWS1007
SDAX,ECKERT+ZIEGLER AG O.N.,DE0005659700
SDAX,ELRINGKLINGER,DE0007856023
SDAX,FIELMANN,DE0005772206
SDAX,FLATEXDEGIRO AG NA O.N.,DE000FTG1111
SDAX,"GLOBAL FASHION GRP EO-,01",LU2010095458
SDAX,HAMBORNER REIT AG NA O.N.,DE000A3H2333
SDAX,HENSOLDT AG INH O.N.,DE000HAG0005
SDAX,HHLA,DE000A0S8488
SDAX,HOME24 SE INH O.N.,DE000A14KEB5
SDAX,HORNBACH HOLD.ST O.N.,DE0006083405
SDAX,HYPOPORT SE NA O.N.,DE0005493365
SDAX,INDUS,DE0006200108
SDAX,INSTONE REAL EST.GRP O.N.,DE000A2NBX80
SDAX,JENOPTIK AG NA O.N.,DE000A2NB601
SDAX,JOST WERKE AG INH. O.N.,DE000JST4000
SDAX,JUNGHEINRICH,DE0006219934
SDAX,KLOECKNER,DE000KC01000
SDAX,KÖNIG & BAUER,DE0007193500
SDAX,KRONES,DE0006335003
SDAX,KWS SAAT,DE0007074007
SDAX,LEONI,DE0005408884
SDAX,LPKF LASER+ELECTRON.,DE0006450000
SDAX,MEDIOS AG O.N.,DE000A1MMCC8
SDAX,METRO AG ST O.N.,DE000BFB0019
SDAX,NEW WORK SE NA O.N.,DE000NWRK013
SDAX,NORMA GROUP SE NA O.N.,DE000A1H8BV3
SDAX,OSRAM LICHT AG NA O.N.,DE000LED4000
SDAX,PATRIZIA IMMO.,DE000PAT1AG3
SDAX,PFEIFFER VAC.,DE0006916604
SDAX,RTL GROUP,LU0061462528
SDAX,SAF-HOLLAND SE INH EO 1,DE000SAFH001
SDAX,SALZGITTER,DE0006202005
SDAX,SCHAEFFLER AG INH. VZO,DE000SHA0159
SDAX,SGL CARBON,DE0007235301
SDAX,Sixt ST,DE0007231326
SDAX,SMA SOLAR,DE000A0DJ6J9
SDAX,"STABILUS S.A. INH. EO-,01",LU1066226637
SDAX,STRATEC SE NA O.N.,DE000STRA555
SDAX,SÜDZUCKER,DE0007297004
SDAX,SUESS MICROTEC SE NA O.N.,DE000A1K0235
SDAX,TAKKT,DE0007446007
SDAX,TALANX AG NA O.N.,DE000TLX1005
