,model,kw,mark,new,2017,2016,2015,2014,2013,2012,2011
6356,Model S 70,225.0,Tesla,78000,,52700,48500,,,,
6357,Model S 60,235.0,Tesla,71399,52900,,,,,,
6358,Model S 60D (Modell S),244.0,Tesla,77099,57100,,,,,,
6359,Model S 70D (Modell S),245.0,Tesla,83500,,57000,51950,,,,
6360,Model S 85,270.0,Tesla,74900,,,,44050,39350,,
6361,Model S 90,270.0,Tesla,90700,,,56400,,,,
6362,Model S 60,285.0,Tesla,70700,,,43950,,,,
6363,Model S 75,285.0,Tesla,70350,53850,,,,,,
6364,Model S 90D (Modell S),310.0,Tesla,98000,,66900,61000,,,,
6365,Model S P85 (Modell S),310.0,Tesla,87599,,,,51200,45750,,
6366,Model S 100D,315.0,Tesla,110300,78750,,,,,,
6367,Model S 75D (Modell S),315.0,Tesla,88200,,59350,,,,,
6368,Model S P85D,345.0,Tesla,117000,,80800,72900,,,,
6369,Model S P90D,345.0,Tesla,120300,,83100,74950,,,,
6370,Model S P90D,345.0,Tesla,124200,90800,84550,,,,,
6371,Model S 90D (Modell S),386.0,Tesla,100600,74500,68700,,,,,
6372,Model S P100D (Modell S),515.0,Tesla,147050,106100,,,,,,
6373,Model X 60D (Modell X),245.0,Tesla,86300,62150,53800,,,,,
6374,Model X 75D (Modell X),245.0,Tesla,94850,65700,61650,,,,,
6375,Model X 100D,386.0,Tesla,156100,109350,96350,,,,,
6376,Model X 90D,386.0,Tesla,108200,77900,68150,,,,,
6377,Auris 1.33 (E15),73.0,Toyota,16650,,,,,,6350,5525
6378,Auris 1.4 D-4D (E15),66.0,Toyota,18600,,,,,,5750,5175
6379,Auris 2.0 D-4D Life (E15),93.0,Toyota,21950,,,,,,6650,6025
6380,Auris 2.2 D-CAT (E15),130.0,Toyota,26900,,,,,,7925,7125
6381,Auris 1.8 Hybrid Life (E15),100.0,Toyota,23300,,,,,,9150,8350
6382,Auris 1.33 (E18),73.0,Toyota,15990,,,8475,7850,7250,,
6383,Auris 1.33 (E18),73.0,Toyota,16490,10700,9750,8825,,,,
6384,Auris 1.2 T Comfort (E18),85.0,Toyota,22740,14650,13100,11500,,,,
6385,Auris 1.6 Life (E18),97.0,Toyota,20250,,,,10250,9525,,
6386,Auris 1.4 D-4D (E18),66.0,Toyota,17940,,,8525,7825,7150,,
6387,Auris 1.4 D-4D (E18),66.0,Toyota,18490,11050,9850,8900,,,,
6388,Auris 1.6 D-4D Comfort (E18),82.0,Toyota,25140,14350,12800,11050,,,,
6389,Auris 2.0 D-4D Life (E18),91.0,Toyota,23550,,,,9900,9175,,
6390,Auris 1.8 Hybrid Life (E18),100.0,Toyota,23300,,,,12050,11050,,
6391,Auris 1.8 Hybrid Cool (E18),100.0,Toyota,23790,16050,14350,13000,,,,
6392,Auris Touring Sports 1.33 (E18),73.0,Toyota,17190,,,9250,8550,7925,,
6393,Auris Touring Sports 1.33 (E18),73.0,Toyota,17690,11600,10600,9625,,,,
6394,Auris Touring Sports 1.2 T Comfort (E18),85.0,Toyota,23940,15500,13850,12250,,,,
6395,Auris Touring Sports 1.6 Life (E18),97.0,Toyota,21450,,,,11000,10100,,
6396,Auris Touring Sports 1.4 D-4D (E18),66.0,Toyota,19140,,,9225,8525,7775,,
6397,Auris Touring Sports 1.4 D-4D (E18),66.0,Toyota,19690,11900,10600,9600,,,,
6398,Auris Touring Sports 1.6 D-4D Comfort (E18),82.0,Toyota,26340,15200,13550,11850,,,,
6399,Auris Touring Sports 2.0 D-4D Life (E18),91.0,Toyota,24750,,,,10600,9825,,
6400,Auris Touring Sports 1.8 Hybrid Life (E18),100.0,Toyota,24500,,,,12800,11750,,
6401,Auris Touring Sports 1.8 Hybrid Cool (E18),100.0,Toyota,24990,17050,15200,13800,,,,
6402,Avensis 1.6 (T27),97.0,Toyota,23640,,,11900,10600,9475,8225,
6403,Avensis 1.8 Life (T27),108.0,Toyota,26450,,,,11950,10650,9275,
6404,Avensis 1.8 Comfort (T27),108.0,Toyota,27140,,,13400,11950,,,
6405,Avensis 1.6 D-4D,82.0,Toyota,28290,16400,14650,13100,,,,
6406,Avensis 2.0 D-4D,91.0,Toyota,25940,,,11900,10600,9375,8125,
6407,Avensis 2.0 D-4D,93.0,Toyota,24950,,,,,,7950,7150
6408,Avensis 2.0 D-4D Comfort (T27),105.0,Toyota,31890,17300,15450,14650,,,,
6409,Avensis 2.2 D-4D Sol (T27),110.0,Toyota,28300,,,,,,8750,7825
6410,Avensis 2.2 D-4D Life (T27),110.0,Toyota,29450,,,,11900,10500,9075,
6411,Avensis 2.2 D-CAT Executive (T27),130.0,Toyota,31650,,,,,,9925,8875
6412,Avensis 2.2 D-CAT Executive (T27),130.0,Toyota,33200,,,,14000,12350,10700,
6413,Avensis Combi 1.6 (T27),97.0,Toyota,24640,,,12450,11150,9950,8650,
6414,Avensis Combi 1.8 Life (T27),108.0,Toyota,27400,,,,12350,11000,9575,
