,model,kw,mark,new,2017,2016,2015,2014,2013,2012,2011
1737,Lodgy 1.6 MPI LPG 85 Picknick (SD),59.0,Dacia,11490,,,8075,7200,,,
1738,Lodgy SCe 100 LPG Start&Stop Picknick,72.0,Dacia,11690,,,7375,,,,
1739,Logan MCV 1.6 MPI 85 (I),62.0,Dacia,7990,,,,,,3375,3025
1740,Logan MCV 1.6 16V 105 Lauréate II (I),77.0,Dacia,11290,,,,,,4850,4375
1741,Logan MCV 1.5 dCi 90 FAP Ambiance (I),65.0,Dacia,12490,,,,,,4675,4200
1742,Logan MCV 1.6 MPI LPG Ambiance,60.0,Dacia,10790,,,,,,4950,4475
1743,Logan Pick-Up 1.6 MPI 85 (I),62.0,Dacia,8211,,,,,,3100,2750
1744,Logan Pick-Up 1.5 dCi Ambiance (I),50.0,Dacia,10472,,,,,,3825,3400
1745,Logan Pick-Up 1.5 dCi 75 FAP Ambiance (I),55.0,Dacia,10948,,,,,,4000,3575
1746,Logan Pick-Up 1.5 dCi Ambiance (I),63.0,Dacia,11067,,,,,,4050,3625
1747,Logan Pick-Up 1.5 dCi 90 FAP Ambiance (I),65.0,Dacia,11543,,,,,,4500,3850
1748,Logan MCV 1.2 16V 75 Essentiel (II),54.0,Dacia,7990,,6650,6025,,,,
1749,Logan MCV 1.2 16V 75 Essentiel (II),55.0,Dacia,7990,,,5950,5300,4750,,
1750,Logan MCV Stepway TCe 90 Start&Stop Celebration (II) 5,66.0,Dacia,12200,11250,,,,,,
1751,Logan MCV TCe 90 Lauréate (II),66.0,Dacia,11090,,,8100,7300,6625,,
1752,Logan MCV TCe 90 Start&Stop Celebration (II),66.0,Dacia,11690,,,8575,,,,
1753,Logan MCV TCe 90 Start&Stop Lauréate (II),66.0,Dacia,11300,10400,9025,,,,,
1754,Logan MCV Stepway dCi 90 Start&Stop Celebration (II),66.0,Dacia,14050,11500,,,,,,
1755,Logan MCV dCi 90 Lauréate (II),66.0,Dacia,12890,,,7950,7200,6450,,
1756,Logan MCV dCi 90 Start&Stop Celebration (II),66.0,Dacia,13490,,,8400,,,,
1757,Logan MCV dCi 90 Start&Stop Lauréate (II),66.0,Dacia,13150,10750,9600,,,,,
1758,Logan MCV 1.2 16V LPG 75 Ambiance (II),53.0,Dacia,9490,,,6875,6300,5600,,
1759,Logan MCV TCe 90 LPG Start&Stop Ambiance,66.0,Dacia,10890,,8700,7850,,,,
1760,Logan MCV TCe 90 LPG Start&Stop Ambiance,66.0,Dacia,11100,9850,8800,,,,,
1761,Sandero 1.2 16V 75 (I),55.0,Dacia,6790,,,,,,3050,2700
1762,Sandero Stepway 1.6 MPI 85 (I),62.0,Dacia,9990,,,,,,4500,4000
1763,Sandero 1.6 MPI 85 Lauréate II (I),62.0,Dacia,9990,,,,,,4375,3900
1764,Sandero Stepway 1.6 16V 105 (I),77.0,Dacia,10590,,,,,,4600,
1765,Sandero 1.5 dCi 75 FAP Lauréate II (I),55.0,Dacia,11390,,,,,,4650,4075
1766,Sandero Stepway 1.5 dCi 90 FAP,65.0,Dacia,11990,,,,,,4975,4350
1767,Sandero 1.5 dCi 90 FAP Lauréate II (I),65.0,Dacia,11990,,,,,,4850,4250
1768,Sandero 1.2 16V LPG 75 Ambiance,53.0,Dacia,8790,,,,,,3775,3325
1769,Sandero Stepway 1.6 MPI LPG 85,60.0,Dacia,10790,,,,,,4750,4225
1770,Sandero 1.2 16V 75 Essentiel (II),54.0,Dacia,6890,,5625,5025,,,,
1771,Sandero 1.2 16V 75 Essentiel (II),55.0,Dacia,6890,,,5100,4650,4325,3850,
1772,Sandero Stepway TCe 90 Ambiance (II),66.0,Dacia,9590,,,6800,6200,5800,5175,
1773,Sandero Stepway TCe 90 Start&Stop Ambiance (II),66.0,Dacia,9590,,7425,6625,,,,
1774,Sandero Stepway TCe 90 Start&Stop Ambiance (II),66.0,Dacia,9990,8250,7725,,,,,
1775,Sandero TCe 90 Lauréate (II),66.0,Dacia,10090,,,6925,6300,5850,5225,
1776,Sandero TCe 90 Start&Stop Lauréate (II),66.0,Dacia,10190,,7725,6900,,,,
1777,Sandero TCe 90 Start&Stop Lauréate (II),66.0,Dacia,10200,8425,7925,,,,,
1778,Sandero Stepway dCi 90 Ambiance (II),66.0,Dacia,11390,,,7550,6850,6450,5700,
1779,Sandero Stepway dCi 90 Start&Stop Ambiance (II),66.0,Dacia,11390,,8300,7425,,,,
1780,Sandero Stepway dCi 90 Start&Stop Ambiance (II),66.0,Dacia,11850,9900,9000,,,,,
1781,Sandero dCi 90 Lauréate (II),66.0,Dacia,11890,,,,,,4725,
1782,Sandero dCi 90 Start&Stop Lauréate (II),66.0,Dacia,11990,,8550,7625,,,,
1783,Sandero dCi 90 Start&Stop Lauréate (II),66.0,Dacia,12050,10050,9200,,,,,
1784,Sandero 1.2 16V LPG 75 Ambiance (II),53.0,Dacia,8390,,,5650,5150,4725,4225,
1785,Sandero TCe 90 LPG Start&Stop Ambiance,66.0,Dacia,9790,,7050,6300,,,,
1786,Sandero TCe 90 LPG Start&Stop Ambiance,66.0,Dacia,10000,8200,7425,,,,,
1787,Charade 1.33 (XP9),73.0,Daihatsu,13990,,,5575,,,4975,4425
1788,Sirion 1.3 (M300),67.0,Daihatsu,12490,,,,,,4600,4100
1789,Sirion 1.3 Eco 4WD (M300),67.0,Daihatsu,13990,,,,,,5075,4525
1790,Sirion 1.5 S (M300),76.0,Daihatsu,14990,,,,,,5425,4850
1791,Terios 1.5 2WD (J2),75.0,Daihatsu,16490,,,6525,,,5650,5050
1792,Terios 1.5 Top 4WD (J2),75.0,Daihatsu,21490,,,8375,,,7250,6575
1793,DS 3 PureTech 82 Chic (S),60.0,DS Automobiles,15990,10900,9750,,,,,
1794,DS 3 PureTech 110 Stop&Start So Chic (S),81.0,DS Automobiles,19290,,11650,10400,9250,,,
1795,DS 3 PureTech 110 Stop&Start So Chic (S),81.0,DS Automobiles,19190,12650,11300,,,,,
1796,DS 3 PureTech 130 Stop&Start So Chic (S),96.0,DS Automobiles,20690,13650,12200,,,,,
1797,DS 3 THP 155 So Paris (S),115.0,DS Automobiles,22815,,,12150,11050,,,
1798,DS 3 THP 165 Stop&Start So Paris (S),121.0,DS Automobiles,24140,,14350,12800,11550,,,
1799,DS 3 THP 165 Stop&Start Sport Chic (S),121.0,DS Automobiles,23490,16150,14450,,,,,
1800,DS 3 BlueHDi 100 So Chic (S),73.0,DS Automobiles,21190,,12200,10900,9925,,,
1801,DS 3 BlueHDi 100 Stop&Start So Chic (S),73.0,DS Automobiles,20740,13550,12100,,,,,
1802,DS 3 BlueHDi 120 So Paris (S),88.0,DS Automobiles,20640,,,11100,10100,,,
1803,DS 3 BlueHDi 120 Stop&Start Sport Chic (S),88.0,DS Automobiles,23540,15350,13700,,,,,
1804,DS 3 Cabrio PureTech 82 So Chic (S),60.0,DS Automobiles,19940,13500,12050,,,,,
1805,DS 3 Cabrio PureTech 110 Stop&Start So Chic (S),81.0,DS Automobiles,22090,,12750,11400,10250,,,
1806,DS 3 Cabrio PureTech 110 Stop&Start So Chic (S),81.0,DS Automobiles,21990,14450,12900,,,,,
1807,DS 3 Cabrio PureTech 130 Stop&Start So Chic (S),96.0,DS Automobiles,23490,15450,13750,,,,,
1808,DS 3 Cabrio THP 155 So Paris (S),115.0,DS Automobiles,25315,,,,11350,,,
1809,DS 3 Cabrio THP 165 Stop&Start So Paris (S),121.0,DS Automobiles,26640,,15700,14000,12750,,,
1810,DS 3 Cabrio THP 165 Stop&Start Sport Chic (S),121.0,DS Automobiles,26290,17500,15600,,,,,
1811,DS 3 Cabrio BlueHDi 100 So Chic (S),73.0,DS Automobiles,23990,,13650,12200,11150,,,
1812,DS 3 Cabrio BlueHDi 100 So Chic (S),73.0,DS Automobiles,23540,15150,13550,,,,,
1813,DS 3 Cabrio BlueHDi 120 So Paris (S),88.0,DS Automobiles,26940,,15450,13800,12450,,,
1814,DS 3 Cabrio BlueHDi 120 Sport Chic (S),88.0,DS Automobiles,26340,16950,15150,,,,,
1815,DS 3 Performance (S),153.0,DS Automobiles,26990,18100,16150,,,,,
1816,DS 4 Crossback PureTech 130 Stop&Start,96.0,DS Automobiles,25490,15400,13750,12550,,,,
1817,DS 4 PureTech 130 Stop&Start (N),96.0,DS Automobiles,23990,14600,13050,11900,,,,
1818,DS 4 THP 165 Stop&Start EAT6 (N),121.0,DS Automobiles,26990,16600,14800,13500,,,,
1819,DS 4 THP 210 Stop&Start (N),155.0,DS Automobiles,28090,17200,15350,13700,,,,
1820,DS 4 Crossback BlueHDi 120 Stop&Start,88.0,DS Automobiles,27490,16000,14300,12950,,,,
1821,DS 4 BlueHDi 120 Stop&Start (N),88.0,DS Automobiles,25990,15100,13450,12300,,,,
1822,DS 4 BlueHDi 150 Stop&Start (N),110.0,DS Automobiles,27690,15400,13750,12650,,,,
1823,DS 4 Crossback BlueHDi 180 Stop&Start EAT6 (N),133.0,DS Automobiles,31890,18400,16400,15050,,,,
1824,DS 4 BlueHDi 180 Stop&Start EAT6 (N),133.0,DS Automobiles,30390,17450,15600,14350,,,,
1825,DS 5 THP 165 Stop&Start EAT6 (K/KF),121.0,DS Automobiles,34390,22100,19750,17650,,,,
1826,DS 5 THP 210 Stop&Start (K/KF),155.0,DS Automobiles,34990,22950,20500,,,,,
1827,DS 5 BlueHDi 120 Stop&Start (K/KF),88.0,DS Automobiles,32590,19600,17500,15650,,,,
1828,DS 5 BlueHDi 150 Stop&Start (K/KF),110.0,DS Automobiles,34590,19250,17150,14850,,,,
1829,DS 5 BlueHDi 180 Stop&Start EAT6 (K/KF),133.0,DS Automobiles,38090,21700,18800,16800,,,,
1830,DS 5 Hybrid 4x4 ETG6 (K/KF),147.0,DS Automobiles,46290,24250,21650,19350,,,,
1831,DS 7 Crossback PureTech 225 Be Chic Automatik (J),165.0,DS Automobiles,39490,26200,,,,,,
1832,DS 7 Crossback BlueHDi 130 Chic (J),96.0,DS Automobiles,31990,20600,,,,,,
1833,DS 7 Crossback BlueHDi 180 Be Chic Automatik (J),130.0,DS Automobiles,40290,26050,,,,,,
1834,124 Spider 1.4 Multiair Turbo (NF),103.0,Fiat,24990,18500,16500,,,,,
1835,500 1.2 8V Start&Stopp Pop (312),51.0,Fiat,11700,,,,,5325,4675,3975
1836,500 1.2 8V Eco Pop Star (312),51.0,Fiat,13940,9325,8575,,,,,
1837,500 1.2 8V Pop (312),51.0,Fiat,12590,7975,7125,6350,,,,
1838,500 0.9 8V TwinAir Start&Stopp Lounge (312),63.0,Fiat,16630,10800,9625,8600,,,,
1839,500 0.9 8V TwinAir Turbo Start&Stopp Lounge (312),77.0,Fiat,15850,,,8475,7550,7500,,
1840,500 1.3 16V Multijet Start&Stopp Lounge (312),70.0,Fiat,18730,11550,10300,9200,,,,
1841,500C 1.2 8V Eco Pop Star (312),51.0,Fiat,16540,10750,9700,,,,,
1842,500C 1.2 8V Pop (312),51.0,Fiat,15190,9300,8400,7500,,,,
1843,500C 0.9 8V TwinAir Start&Stopp Lounge (312),63.0,Fiat,19230,12050,10850,9700,,,,
1844,500C 0.9 8V TwinAir Turbo Start&Stopp Lounge (312),77.0,Fiat,18350,,,9925,8875,8825,,
1845,500C 0.9 8V TwinAir Turbo Start&Stopp Lounge (312),77.0,Fiat,19930,12450,11150,9950,,,,
1846,500C 1.3 16V Multijet Start&Stopp Lounge (312),70.0,Fiat,21330,12800,11400,10200,,,,
1847,500L Wagon 1.4 16V Pop-Star (199),70.0,Fiat,16990,11500,,,,,,
1848,500L Trekking 1.4 16V (199),70.0,Fiat,20050,13500,12050,10650,9500,8650,,
1849,500L Cross 1.4 16V City (199),70.0,Fiat,16990,11750,,,,,,
1850,500L 1.4 16V Pop (199),70.0,Fiat,15990,10950,9800,8750,7800,7100,6225,
1851,500L Urban 1.4 16V Pop Star (199),70.0,Fiat,16490,11400,,,,,,
1852,"500L Living 0.9 8V TwinAir Turbo Start&Stopp Pop-
Star (199)",77.0,Fiat,19890,13100,11650,10400,9300,8300,,
1853,"500L Wagon 0.9 8V TwinAir Turbo Start&Stopp Pop-
Star (199)",77.0,Fiat,18290,12400,,,,,,
1854,500L Trekking 0.9 TwinAir Start&Stopp (199),77.0,Fiat,21350,14000,12500,11150,9950,8900,,
1855,500L Cross 0.9 TwinAir Start&Stopp City (199),77.0,Fiat,18290,12500,,,,,,
1856,500L 0.9 TwinAir Start&Stopp Easy (199),77.0,Fiat,18550,,,,8975,8025,7025,
1857,500L Urban 0.9 TwinAir Start&Stopp Pop Star (199),77.0,Fiat,17790,12150,,,,,,
1858,500L Living 1.4 T-Jet 16V Pop-Star (199),88.0,Fiat,20690,13750,12250,10950,9775,,,
1859,500L Wagon 1.4 T-Jet 16V Pop-Star (199),88.0,Fiat,19240,13050,,,,,,
1860,500L Trekking 1.4 T-Jet 16V (199),88.0,Fiat,22300,14400,12850,11500,10250,,,
1861,500L Cross 1.4 T-Jet 16V City (199),88.0,Fiat,19240,13150,,,,,,
1862,500L 1.4 T-Jet 16V Pop Star (199),88.0,Fiat,20240,13300,11850,10600,9450,,,
1863,500L Urban 1.4 T-Jet 16V Pop Star (199),88.0,Fiat,18740,12800,,,,,,
1864,"500L Living 1.3 16V Multijet Start&Stopp Pop-Star
Dualogic (199)",62.0,Fiat,21550,,,10850,9675,8625,,
1865,500L Trekking 1.3 Multijet 16V Start&Stopp (199),62.0,Fiat,22550,,,10950,9775,8600,,
1866,500L 1.3 Multijet 16V Start&Stopp Easy (199),62.0,Fiat,19150,,,,8675,7750,6725,
1867,"500L Living 1.3 16V Multijet Start&Stopp Pop-Star
Dualogic (199)",70.0,Fiat,22390,13900,12400,11100,,,,
1868,"500L Wagon 1.3 16V Multijet Start&Stopp Pop-Star
(199)",70.0,Fiat,19490,12600,,,,,,
1869,"500L Trekking 1.3 Multijet 16V Start&Stopp Dualogic
(199)",70.0,Fiat,23750,14000,12500,11150,,,,
1870,500L Cross 1.3 Multijet 16V Start&Stopp City (199),70.0,Fiat,19490,12050,,,,,,
1871,500L 1.3 Multijet 16V Start&Stopp Pop Star (199),70.0,Fiat,20490,12150,10850,9700,,,,
1872,500L Urban 1.3 Multijet 16V Start&Stopp Pop Star (199) 5,70.0,Fiat,18990,11750,,,,,,
1873,500L Living 1.6 16V Multijet Start&Stopp Pop-Star (199) 5,77.0,Fiat,21050,,,10600,9450,8450,,
1874,500L Trekking 1.6 Multijet 16V Start&Stopp (199),77.0,Fiat,22050,,,10800,9650,8625,,
1875,500L 1.6 Multijet 16V Start&Stopp Easy (199),77.0,Fiat,19850,,,,8725,7800,,
1876,500L Living 1.6 16V Multijet Start&Stopp Pop-Star (199) 5,88.0,Fiat,21750,,,10950,9750,8725,,
1877,"500L Wagon 1.6 16V Multijet Start&Stopp Pop-Star
(199)",88.0,Fiat,20740,13400,,,,,,
1878,500L Trekking 1.6 Multijet 16V Start&Stopp (199),88.0,Fiat,22750,,,11250,10050,,,
1879,500L Cross 1.6 Multijet 16V Start&Stopp City (199),88.0,Fiat,20740,13050,,,,,,
1880,500L 1.6 Multijet 16V Start&Stopp Pop-Star (199),88.0,Fiat,21050,,,10400,9300,,,
1881,500L Urban 1.6 Multijet 16V Start&Stopp Pop Star (199) 5,88.0,Fiat,20240,12750,,,,,,
1882,500L 0.9 TwinAir Natural Power Easy (199),59.0,Fiat,20550,,,,10150,9050,,
1883,500L Urban 0.9 TwinAir Natural Power Pop Star,59.0,Fiat,19690,13750,,,,,,
1884,500X 1.6 E-torQ Pop 4x2 (334),81.0,Fiat,16990,11500,10550,9400,8250,,,
1885,500X 1.4 MultiAir Start&Stopp Pop Star 4x2 (334),103.0,Fiat,21790,13900,12400,10900,9550,,,
1886,"500X 1.4 MultiAir Start&Stopp S-Design Cross Look
4x4 Automatik (334)",125.0,Fiat,27490,18300,,,,,,
1887,500X 1.3 MultiJet Start&Stopp Pop 4x2 (334),70.0,Fiat,18990,11000,9800,8775,,,,
1888,500X 1.6 MultiJet Start&Stopp Pop Star 4x2 (334),88.0,Fiat,23190,15100,13450,11700,10250,,,
1889,"Bravo 1.4 16V Multiair Turbo Start&Stopp Dynamic
(198)",103.0,Fiat,19190,,,,,,6725,6125
1890,Doblò Kombi 1.4 16V Active (263),70.0,Fiat,16750,,,,,,5900,5300
1891,Doblò Kombi 1.4 16V Start&Stopp Pop (263),70.0,Fiat,17400,,,8825,7900,6975,,
1892,Doblò Kombi 1.4 16V Pop (263),70.0,Fiat,17990,11400,10200,9100,8125,,,
1893,Doblò Kombi 1.4 T-Jet 16V My Doblò (263),88.0,Fiat,20300,,,,,8150,,
1894,Doblò Kombi 1.6 JTD Multijet 16V Active (263),66.0,Fiat,18750,,,,,,6100,5350
1895,Doblò Kombi 1.6 JTD Multijet 16V Pop (263),66.0,Fiat,19600,,,9425,8425,,,
1896,"Doblò Kombi 1.6 JTD Multijet 16V Start&Stopp Lounge
Dualogic (263)",66.0,Fiat,22050,,,10600,9450,,,
1897,"Doblò Kombi lang 1.6 JTD Multijet 16V Start&Stopp
Lounge Dualogic (263)",66.0,Fiat,24250,,,11650,10400,,,
1898,Doblò Kombi 1.6 Multijet 16V Pop (263),70.0,Fiat,20940,11900,10600,9475,,,,
1899,Doblò Kombi lang 1.6 Multijet 16V Lounge (263),70.0,Fiat,24550,13900,12400,11050,,,,
1900,Doblò Kombi 1.6 JTD Multijet 16V Emotion (263),77.0,Fiat,21600,,,,,,7050,6300
1901,Doblò Kombi 1.6 JTD Multijet 16V Lounge (263),77.0,Fiat,22950,,,11050,9850,,,
1902,Doblò Kombi lang 1.6 JTD Multijet 16V Lounge (263),77.0,Fiat,23950,,,11500,10300,,,
1903,Doblò Kombi 1.6 Multijet 16V Lounge (263),88.0,Fiat,24450,13300,11850,10600,,,,
1904,Doblò Kombi lang 1.6 Multijet 16V Lounge (263),88.0,Fiat,25450,13850,12350,11050,,,,
1905,Doblò Kombi 2.0 JTD Multijet 16V Emotion (263),99.0,Fiat,22500,,,,,,7225,6450
1906,Doblò Kombi 2.0 JTD Multijet 16V Lounge (263),99.0,Fiat,23850,,,11450,10250,,,
1907,Doblò Kombi lang 2.0 JTD Multijet 16V Lounge (263),99.0,Fiat,24850,,,11950,10650,,,
1908,Doblò Kombi 1.4 T-Jet 16V Natural Power Pop (263),88.0,Fiat,22090,14100,12550,11200,10000,,,
1909,Ducato Kombi 30 115 Multijet kurz (250),85.0,Fiat,29000,,,,11650,10150,8875,7500
1910,Ducato Kombi 30 L1H1 130 Multijet SCR teilverglast,96.0,Fiat,30833,,,13850,12550,,,
1911,Fiorino Kombi 1.4 8V (225),57.0,Fiat,15161,8800,7850,,,,,
1912,Fiorino Kombi 1.3 Multijet 16V,59.0,Fiat,17624,10150,9050,,,,,
1913,Fiorino Kombi 1.3 Multijet 16V Ecojet Start&Stop,59.0,Fiat,18017,10350,9250,,,,,
1914,Fiorino Kombi 1.3 JTD Multijet 16V (225),70.0,Fiat,16684,,,7875,6900,6025,5400,4875
1915,Fiorino Kombi 1.3 Multijet 16V,70.0,Fiat,18040,10350,9250,,,,,
1916,Fiorino Kombi 1.3 Multijet 16V Ecojet Start&Stop,70.0,Fiat,18433,10600,9450,,,,,
1917,Fiorino Kombi 1.4 8V Natural Power,51.0,Fiat,17196,,,,6775,5925,5350,4750
1918,Fiorino Kombi 1.4 8V Natural Power,51.0,Fiat,17707,9875,8825,,,,,
1919,Qubo 1.4 8V Pop (225),57.0,Fiat,13990,,7750,6925,6175,,,
1920,Qubo 1.4 8V Pop (225),57.0,Fiat,12490,7850,7000,,,,,
1921,Qubo 1.3 16V Multijet Pop (225),59.0,Fiat,15490,9700,8675,,,,,
1922,"Qubo 1.3 16V Multijet Start&Stopp Lounge Dualogic
(225)",70.0,Fiat,18090,11800,10550,,,,,
1923,Qubo 1.4 8V Natural Power Pop (225),51.0,Fiat,15290,9900,8850,,,,,
1924,Freemont 2.4 16V My Freemont Automatik (JC),125.0,Fiat,27390,,,,12750,11400,,
1925,Freemont 3.6 V6 24V Lounge Allrad Automatik (JC),206.0,Fiat,35390,,,,15900,14150,,
1926,Freemont 2.0 JTD Multijet 16V,103.0,Fiat,28690,,16450,14650,12850,11700,10150,9100
1927,Freemont 2.0 JTD Multijet 16V Urban (JC),125.0,Fiat,29290,,,,,12800,11150,9950
1928,"Freemont 2.0 JTD Multijet 16V Urban Allrad Automatik
(JC)",125.0,Fiat,32790,,,,,14100,12250,11000
1929,Punto EVO 1.4 16V Multiair Start&Stopp Racing (199),77.0,Fiat,16150,,,,,,5475,4875
1930,"Punto EVO 1.4 16V Multiair Turbo Start&Stopp Racing
(199)",99.0,Fiat,17350,,,,,,5875,5225
1931,"Punto EVO 1.3 JTD 16V Multijet Start&Stopp Racing
(199)",70.0,Fiat,17700,,,,,,5575,4925
1932,Punto EVO 1.6 JTD 16V Multijet Sport (199),88.0,Fiat,20000,,,,,,6200,5500
1933,Panda 1.2 8V Classic (169),51.0,Fiat,9490,,,,,3625,3250,
1934,Panda 1.2 8V Classic 4x4 (169),51.0,Fiat,13490,,,,,5100,4400,
1935,Panda 1.3 JTD Multijet 16V Classic 4x4 (169),55.0,Fiat,15990,,,,,6000,5175,
1936,Panda 1.4 8V Natural Power Panda Panda,51.0,Fiat,13840,,,,,,4475,4000
1937,Panda Cross 1.2 8V City (312),51.0,Fiat,13490,8800,,,,,,
1938,Panda 1.2 8V (312),51.0,Fiat,9090,,,,,4025,,
1939,Panda 0.9 8V Twinair Start&Stopp 4x4 (312),63.0,Fiat,15590,,,,,7300,6600,
1940,Panda 0.9 8V Twinair Start&Stopp Lounge (312),63.0,Fiat,13090,,,,,5900,5325,
1941,Panda 0.9 8V Twinair Turbo Start&Stopp Lounge (312),63.0,Fiat,13190,9300,8575,7650,6825,6100,,
1942,Panda 0.9 8V Twinair Turbo Start&Stopp Wild 4x4 (312),63.0,Fiat,15990,11250,,,,,,
1943,Panda 1.3 JTD Multijet 16V Start&Stopp 4x4 (312),55.0,Fiat,16990,,,9550,8525,7600,6800,
1944,Panda 1.3 JTD Multijet 16V Start&Stopp Lounge (312),55.0,Fiat,13890,,,7625,6800,6075,5425,
1945,Panda 1.3 Multijet 16V Start&Stopp Lounge (312),70.0,Fiat,14890,9800,8750,7800,,,,
1946,Panda 1.3 Multijet 16V Start&Stopp Wild 4x4 (312),70.0,Fiat,17690,11750,,,,,,
1947,Panda 1.2 8V LPG Easy (312),51.0,Fiat,10290,6925,6175,5525,,,,
1948,Panda 0.9 8V Twinair Natural Power Lounge,59.0,Fiat,15590,,,,,6625,6000,
1949,Punto 1.2 8V Start&Stopp Active (199),51.0,Fiat,12200,,,,,,4200,3750
1950,Punto 1.2 8V Pop (199),51.0,Fiat,11590,,,,5175,4675,4300,
1951,Punto 1.4 8V Start&Stopp Active (199),57.0,Fiat,12900,,,,,,4475,3975
1952,Punto 1.4 8V Start&Stopp Pop (199),57.0,Fiat,12800,,,,,5475,4900,
1953,Punto 0.9 8V Twinair Start&Stopp Easy (199),62.0,Fiat,15200,,,,,,5800,
1954,Punto 1.4 16V Multiair Start&Stopp Dynamic (199),77.0,Fiat,15000,,,,,,5100,4550
1955,Punto 0.9 8V Twinair Start&Stopp My Punto (199),77.0,Fiat,15290,,,,7225,6500,,
1956,Punto 1.4 16V Multiair Start&Stopp Easy (199),77.0,Fiat,15700,,,,,,5925,
1957,Punto 1.4 16V Multiair Turbo Start&Stopp Sport (199),99.0,Fiat,17900,,,,,7475,6675,
1958,Punto 1.3 JTD 16V Multijet Start&Stopp Dynamic (199),55.0,Fiat,15750,,,,,,5000,4450
1959,Punto 1.3 JTD 16V Multijet Start&Stopp Pop (199),62.0,Fiat,14790,,,7475,6775,6125,5400,
1960,Punto 1.3 JTD 16V Multijet Start&Stopp Sport (199),70.0,Fiat,17600,,,,,7075,6275,
1961,Punto 1.4 8V Natural Power Dynamic (199),51.0,Fiat,16350,,,,,,5550,4950
1962,Punto 1.4 8V Natural Power Pop (199),51.0,Fiat,15300,,,,,6425,5725,
1963,Scudo Kombi 130 Multijet DPF kurz (270),94.0,Fiat,28441,,13550,12300,11200,9500,8475,7775
1964,Sedici 1.6 16V Dynamic 4x2 (FY),88.0,Fiat,15790,,,,,,5425,4925
1965,Sedici 1.6 16V Dynamic 4x4 (FY),88.0,Fiat,17590,,,,,,6275,5700
1966,Sedici 2.0 JTD Multijet 16V Dynamic 4x4 (FY),99.0,Fiat,21040,,,,,,6950,6275
1967,Sedici 2.0 JTD Multijet 16V Emotion 4x2 (FY),99.0,Fiat,20140,,,,,,6675,6025
1968,Strada 1.3 JTD Multijet 16V kurze Kabine (278),62.0,Fiat,16065,,,,,,5250,4650
1969,Strada 1.3 JTD Multijet 16V lange Kabine (278),62.0,Fiat,16482,,,,,,5425,4800
1970,"Talento Kombi L1H1 1,0t 1.6 Ecojet 95 Turbo (296)",70.0,Fiat,31154,18250,16600,,,,,
1971,"Talento Kombi L1H1 1,0t 1.6 Ecojet 125 Twin Turbo
(296)",92.0,Fiat,32820,19250,17500,,,,,
1972,"Talento Kombi L1H1 1,2t 1.6 Ecojet 125 Twin Turbo
(296)",92.0,Fiat,33475,19650,17850,,,,,
1973,"Talento Kombi L2H1 1,2t 1.6 Ecojet 125 Twin Turbo
(296)",92.0,Fiat,34308,20150,18300,,,,,
1974,"Talento Kombi L1H1 1,0t 1.6 Ecojet 145 Twin Turbo
Family (296)",107.0,Fiat,35557,20850,19000,,,,,
1975,"Talento Kombi L1H1 1,2t 1.6 Ecojet 145 Twin Turbo
(296)",107.0,Fiat,34665,20350,18500,,,,,
1976,"Talento Kombi L2H1 1,2t 1.6 Ecojet 145 Twin Turbo
(296)",107.0,Fiat,35498,20850,18950,,,,,
1977,Tipo 1.4 16V Pop (356),70.0,Fiat,14990,10400,9675,,,,,
1978,Tipo 1.6 E-torQ Easy Automatik (356),81.0,Fiat,19690,14000,13000,,,,,
1979,Tipo 1.4 T-Jet Start&Stopp Easy (356),88.0,Fiat,17690,12700,11800,,,,,
1980,Tipo 1.3 Multijet Start&Stopp Pop (356),70.0,Fiat,17450,11650,10400,,,,,
1981,Tipo 1.6 Multijet Start&Stopp Easy (356),88.0,Fiat,19690,12850,11500,,,,,
1982,Tipo 1.4 16V Pop (356),70.0,Fiat,13990,9875,9175,,,,,
1983,Tipo 1.6 E-torQ Easy (356),81.0,Fiat,18690,13400,12450,,,,,
1984,Tipo 1.3 Multijet Pop (356),70.0,Fiat,16450,11000,10050,,,,,
1985,Tipo 1.6 Multijet Easy (356),88.0,Fiat,18650,12750,11400,,,,,
1986,Tipo Kombi 1.4 16V Pop (356),70.0,Fiat,15990,11600,10800,,,,,
1987,Tipo Kombi 1.6 E-torQ Easy Automatik (356),81.0,Fiat,20690,14850,13800,,,,,
1988,Tipo Kombi 1.4 T-Jet Start&Stopp Easy (356),88.0,Fiat,18690,13500,12550,,,,,
1989,Tipo Kombi 1.3 Multijet Start&Stopp Pop (356),70.0,Fiat,18450,12350,11050,,,,,
1990,Tipo Kombi 1.6 Multijet Start&Stopp Easy (356),88.0,Fiat,20690,13600,12750,,,,,
1991,B-MAX 1.4 Ambiente (JK8),66.0,Ford,15950,,,8900,7925,7025,6150,
1992,B-MAX 1.0 EcoBoost Start/Stopp Trend (JK8),74.0,Ford,17900,,,9325,8650,7800,6850,
1993,B-MAX 1.6 Trend Powershift (JK8),77.0,Ford,19050,,,10050,8950,7950,6950,
1994,B-MAX 1.0 EcoBoost Start/Stopp Trend (JK8),88.0,Ford,18350,,,,,8175,7175,
1995,B-MAX 1.0 EcoBoost Start/Stopp Trend (JK8),92.0,Ford,18900,,,9900,9375,8300,,
1996,B-MAX 1.0 EcoBoost Start/Stopp Titanium (JK8),103.0,Ford,21750,14250,12700,,,,,
