Alle Marken,,,,,km- Neu-,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen,,kW (PS),Kl. preis,,,2017,2016 2015 2014 2013 2012,,,,,2011
A3 Sportback 1.2 TFSI Attraction (8P),,,5,77,(105),III,22000,,,,,,8825,7950
A3 Sportback 1.6 TDI Attraction (8P),,,5,66 (90),,IV,23900,,,,,,8375,7550
A3 Sportback 1.6 TDI 102g Attraction (8P),,,5,77,(105),IV,24950,,,,,,9100,8300
A3 Sportback 1.6 TDI Attraction (8P),,,5,77,(105),IV,24950,,,,,,8800,8025
A3 Cabriolet 1.2 TFSI Attraction (8P),,,2,77,(105),III,25500,,,,,12250,11250,10150
A3 Cabriolet 1.4 TFSI Attraction (8P),,,2,92,(125),III,27150,,,,,12750,11700,10450
A3 Cabriolet 1.6 TDI Attraction (8P),,,2,77,(105),IV,29000,,,,,11450,10200,9025
A3 1.2 TFSI Attraction (8V),,,3,77,(105),III,21900,,,,11450,10850,,
A3 1.2 TFSI Attraction (8V),,,3,81,(110),III,22800,,13150,12300,11600,,,
A3 1.0 TFSI (8V),,,3,85,(115),III,23750,15200,13850,,,,,
A3 1.4 TFSI Attraction (8V),,,3,90,(122),III,22800,,,,12500,11750,11000,
A3 1.4 TFSI Attraction (8V),,,3,92,(125),III,23700,,14900,13550,12700,,,
A3 1.4 TFSI cod ultra Attraction (8V),,,3,110,(150),III,24950,,14950,13700,12750,,,
A3 1.4 TFSI cod ultra (8V),,,3,110,(150),III,25000,17200,15500,,,,,
A3 1.5 TFSI cod (8V),,,3,110,(150),III,25700,17300,,,,,,
A3 1.8 TFSI Attraction (8V),,,3,132,(180),III,25900,,,,,13000,12050,
A3 1.8 TFSI Attraction quattro S tronic (8V),,,3,132,(180),III,29750,,,,,14750,13650,
A3 2.0 TFSI sport quattro S tronic,(8V),,3,140,(190),III,34250,23300,20800,,,,,
A3 1.6 TDI Attraction (8V),,,3,77,(105),IV,24800,,,,11000,10100,9100,
A3 1.6 TDI Attraction (8V),,,3,81,(110),IV,25700,,12850,11700,10850,,,
A3 1.6 TDI (8V),,,3,81,(110),IV,25950,15100,13650,,,,,
A3 1.6 TDI (8V),,,3,85,(116),IV,26650,15500,,,,,,
A3 2.0 TDI Attraction (8V),,,3,110,(150),IV,26600,,,,12350,11150,10150,
A3 2.0 TDI Attraction quattro (8V),,,3,110,(150),IV,28550,,,,13050,11800,10750,
A3 2.0 TDI (8V),,,3,110,(150),IV,28850,17200,15350,,,,,
A3 2.0 TDI quattro (8V),,,3,110,(150),IV,30850,18200,16250,,,,,
A3 2.0 TDI Attraction (8V),,,3,135,(184),IV,29800,,16350,15000,14000,13050,,
A3 2.0 TDI Attraction quattro S tronic (8V),,,3,135,(184),IV,33650,,18250,16700,15650,14550,,
A3 2.0 TDI sport quattro S tronic (8V),,,3,135,(184),IV,36600,23150,20250,,,,,
A3 Sportback 1.2 TFSI Attraction (8V),,,5,77,(105),III,22800,,,,12200,11600,,
A3 Sportback 1.2 TFSI Attraction (8V),,,5,81,(110),III,23700,,14050,13200,12500,,,
A3 Sportback 1.0 TFSI (8V),,,5,85,(115),III,25350,16250,14850,,,,,
A3 Sportback 1.4 TFSI Attraction (8V),,,5,90,(122),III,23700,,,,13400,12600,11750,
A3 Sportback 1.4 TFSI Attraction (8V),,,5,92,(125),III,24600,,15950,14500,13550,,,
A3 Sportback 1.4 TFSI cod ultra Attraction (8V),,,5,110,(150),III,25850,,16450,15050,14050,,,
A3 Sportback 1.4 TFSI cod ultra (8V),,,5,110,(150),III,25900,18500,17000,,,,,
A3 Sportback 1.5 TFSI cod (8V),,,5,110,(150),III,27300,18250,,,,,,
A3 Sportback 1.8 TFSI Attraction quattro S tronic (8V),,,5,132,(180),III,31900,,19700,18100,16950,15700,,
A3 Sportback 1.8 TFSI Attraction S tronic (8V),,,5,132,(180),III,28700,,,,,14750,13700,
A3 Sportback 2.0 TFSI sport quattro S tronic,,(8V),5,140,(190),III,35850,25150,22450,,,,,
A3 Sportback 1.6 TDI Attraction (8V),,,5,77,(105),IV,25700,,,,11600,10900,9850,
A3 Sportback 1.6 TDI Attraction (8V),,,5,81,(110),IV,26600,,13850,12650,11700,,,
A3 Sportback 1.6 TDI (8V),,,5,81,(110),IV,26850,16300,14700,,,,,
A3 Sportback 1.6 TDI (8V),,,5,85,(116),IV,28350,16700,,,,,,
A3 Sportback 2.0 TDI Attraction (8V),,,5,110,(150),IV,27500,,,,13250,11900,10850,
A3 Sportback 2.0 TDI Attraction quattro (8V),,,5,110,(150),IV,29450,,,,13950,12550,11450,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",,,,,,,,,,,,,Seite: 6 von 165,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,

