Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
,Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,
E 300 BlueEFFICIENCY Coupé Avantgarde 7G-,3,185  (252),V,50694,,,,,,18050,16700,,,
TRONIC PLUS (207),,,,,,,,,,,,,,
E 300 Coupé 7G-TRONIC PLUS (207),3,185  (252),V,51676,,,,,21800,20300,,,,
E 320 Coupé 7G-TRONIC PLUS (207),3,200  (272),V,52717,,27300,25450,23750,21950,,,,,
E 350 BlueEFFICIENCY Coupé Avantgarde 7G-,3,225  (306),V,53342,,,,,,18400,16900,,,
TRONIC PLUS (207),,,,,,,,,,,,,,
E 350 Coupé 7G-TRONIC PLUS (207),3,225  (306),V,54324,,,,,21950,20350,,,,
E 400 Coupé 7G-TRONIC PLUS (207),3,245  (333),V,56347,,,,,23300,21600,,,,
E 400 Coupé 7G-TRONIC PLUS (207),3,245  (333),V,57358,,29550,27550,25600,23450,,,,,
E 500 BlueEFFICIENCY Coupé Avantgarde 7G-,3,300  (408),V,70061,,,,,,22550,21200,,,
TRONIC (207),,,,,,,,,,,,,,
E 500 Coupé 7G-TRONIC PLUS (207),3,300  (408),V,71043,,,,,28000,25650,,,,
E 220 BlueTEC Coupé  (207),3,125  (170),VI,45399,,,,18400,16950,,,,,
E 220 CDI Coupé  (207),3,125  (170),VI,44506,,,,,16450,14800,,,,
E 220 d Coupé  (207),3,125  (170),VI,45756,,21650,20200,18400,,,,,,
E 250 BlueTEC Coupé  (207),3,150  (204),VI,48076,,,,19900,18100,,,,,
E 250 CDI Coupé  (207),3,150  (204),VI,47184,,,,,17550,15800,,,,
E 250 d Coupé  (207),3,150  (204),VI,48433,,23200,21600,19900,,,,,,
E 350 BlueTEC Coupé 7G-TRONIC PLUS (207),3,185  (252),VI,53550,,,,,20450,18400,,,,
E 350 BlueTEC Coupé 9G-TRONIC (207),3,190  (258),VI,53848,,,,22300,20650,,,,,
E 350 d Coupé 9G-TRONIC (207),3,190  (258),VI,54205,,25450,23700,22300,,,,,,
E 350 CDI BlueEFFICIENCY Coupé Avantgarde 7G-,3,195  (265),VI,51140,,,,,,16750,14700,,,
TRONIC PLUS (207),,,,,,,,,,,,,,
E 200 BlueEFFICIENCY Cabriolet Avantgarde (207),2,135  (184),V,46380,,,,,,16400,15350,,,
E 200 Cabriolet  (207),2,135  (184),V,48493,,24600,22950,21250,19950,18350,,,,
E 250 BlueEFFICIENCY Cabriolet Avantgarde 7G-,2,150  (204),V,50664,,,,,,18250,16650,,,
TRONIC PLUS (207),,,,,,,,,,,,,,
E 250 Cabriolet 7G-TRONIC PLUS (207),2,155  (211),V,52777,,27450,25350,23600,21700,20000,,,,
E 300 BlueEFFICIENCY Cabriolet Avantgarde 7G-,2,185  (252),V,55216,,,,,,20000,18700,,,
TRONIC PLUS (207),,,,,,,,,,,,,,
E 300 Cabriolet 7G-TRONIC PLUS (207),2,185  (252),V,56198,,,,,23600,21950,,,,
E 350 BlueEFFICIENCY Cabriolet Avantgarde 7G-,2,225  (306),V,57864,,,,,,20150,18900,,,
TRONIC PLUS (207),,,,,,,,,,,,,,
E 350 Cabriolet 7G-TRONIC PLUS (207),2,225  (306),V,58846,,,,,24500,22800,,,,
E 400 Cabriolet 7G-TRONIC PLUS (207),2,245  (333),V,60869,,,,,25800,24000,,,,
E 400 Cabriolet 7G-TRONIC PLUS (207),2,245  (333),V,61880,,32400,29600,27550,25850,,,,,
E 500 BlueEFFICIENCY Cabriolet Avantgarde 7G-,2,300  (408),V,74583,,,,,,25450,22950,,,
TRONIC (207),,,,,,,,,,,,,,
E 500 Cabriolet 7G-TRONIC (207),2,300  (408),V,75565,,,,,32100,28400,,,,
E 220 BlueTEC Cabriolet  (207),2,125  (170),VI,49921,,,,20850,19000,,,,,
E 220 CDI Cabriolet  (207),2,125  (170),VI,49028,,,,,18400,16600,,,,
E 220 d Cabriolet  (207),2,125  (170),VI,50278,,24050,22150,20850,,,,,,
E 250 BlueTEC Cabriolet  (207),2,150  (204),VI,52598,,,,21750,19250,,,,,
E 250 CDI Cabriolet  (207),2,150  (204),VI,51706,,,,,18800,17400,,,,
E 250 d Cabriolet  (207),2,150  (204),VI,52955,,25100,23400,21750,,,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 85 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Mercedes,,,,,,,,,,,,,,
E 350 BlueTEC Cabriolet 7G-TRONIC PLUS (207),2,185  (252),VI,58429,,,,,22650,20450,,,,
E 350 BlueTEC Cabriolet 9G-TRONIC (207),2,190  (252),VI,58727,,,,24800,23050,,,,,
E 350 CDI BlueEFFICIENCY Cabriolet Avantgarde,2,195  (265),VI,56019,,,,,,18750,16750,,,
7G-TRONIC PLUS (207),,,,,,,,,,,,,,
E 200 BlueEFFICIENCY  (212),4,135  (184),VI,40787,,,,,,12350,11400,,,
E 200  (212),4,135  (184),VI,42424,,,19650,18300,16200,14400,,,,
E 250 7G-TRONIC PLUS (212),4,155  (211),VI,47481,,,22450,20400,18300,16450,,,,
E 300 BlueEFFICIENCY 4MATIC 7G-TRONIC PLUS,4,185  (252),VI,53312,,,,,,17100,15000,,,
-212,,,,,,,,,,,,,,
E 300 BlueEFFICIENCY 7G-TRONIC PLUS (212),4,185  (252),VI,50575,,,,,,16750,14450,,,
E 300 4MATIC 7G-TRONIC PLUS (212),4,185  (252),VI,54205,,,,,21300,18950,,,,
E 300 7G-TRONIC PLUS (212),4,185  (252),VI,51468,,,,,20200,18000,,,,
E 350 BlueEFFICIENCY 4MATIC 7G-TRONIC PLUS,4,225  (306),VI,56079,,,,,,17950,16150,,,
-212,,,,,,,,,,,,,,
E 350 BlueEFFICIENCY 7G-TRONIC PLUS (212),4,225  (306),VI,53342,,,,,,17250,15500,,,
E 350 4MATIC 7G-TRONIC PLUS (212),4,225  (306),VI,56971,,,,,21200,19350,,,,
E 350 7G-TRONIC PLUS (212),4,225  (306),VI,54234,,,,,20400,18650,,,,
E 400 4MATIC 7G-TRONIC PLUS (212),4,245  (333),VI,58994,,,,,24050,21100,,,,
E 400 4MATIC 7G-TRONIC PLUS (212),4,245  (333),VI,59619,,,30400,27750,23750,,,,,
E 400 7G-TRONIC PLUS (212),4,245  (333),VI,56257,,,,,22250,19500,,,,
E 400 7G-TRONIC PLUS (212),4,245  (333),VI,56882,,,28200,25750,22000,,,,,
E 500 BlueEFFICIENCY Elegance 4MATIC 7G-,4,300  (408),VI,73750,,,,,,23450,21750,,,
TRONIC PLUS (212),,,,,,,,,,,,,,
E 500 BlueEFFICIENCY Elegance 7G-TRONIC PLUS,4,300  (408),VI,71013,,,,,,22250,19600,,,
-212,,,,,,,,,,,,,,
E 500 Elegance 4MATIC 7G-TRONIC PLUS (212),4,300  (408),VI,73631,,,,,28200,25250,,,,
E 500 Elegance 7G-TRONIC PLUS (212),4,300  (408),VI,70894,,,,,26700,23950,,,,
E 200 BlueTEC  (212),4,100  (136),VII,41412,,,16450,14800,13050,,,,,
E 200 CDI  (212),4,100  (136),VII,40668,,,,,12850,11200,,,,
E 220 CDI BlueEFFICIENCY Edition  (212),4,125  (170),VII,42870,,,,,,12250,11650,,,
E 220 BlueTEC  (212),4,125  (170),VII,44387,,,18450,16700,13950,,,,,
E 220 BlueTEC 4MATIC 7G-TRONIC (212),4,125  (170),VII,49683,,,21600,19450,,,,,,
E 220 BlueTEC BlueEFFICIENCY Edition  (212),4,125  (170),VII,46333,,,18500,16750,14050,12700,,,,
E 220 CDI  (212),4,125  (170),VII,43524,,,,,13550,12100,,,,
E 220 CDI Edition  (212),4,125  (170),VII,43286,,,,,,12050,,,,
E 250 BlueTEC  (212),4,150  (204),VII,47422,,,19250,17450,15350,,,,,
E 250 BlueTEC 4MATIC 7G-TRONIC PLUS (212),4,150  (204),VII,52658,,,21450,19450,17100,,,,,
E 250 CDI  (212),4,150  (204),VII,46559,,,,,15150,13350,,,,
E 250 CDI 4MATIC 7G-TRONIC PLUS (212),4,150  (204),VII,51795,,,,,17050,14950,,,,
E 350 BlueTEC 7G-TRONIC PLUS (212),4,155  (211),VII,53996,,,,,,15650,14100,,,
E 300 BlueTEC 7G-TRONIC PLUS (212),4,170  (231),VII,52479,,,21600,19200,16900,15450,,,,
E 350 BlueTEC 4MATIC 7G-TRONIC PLUS (212),4,185  (252),VII,57685,,,,,18950,17300,,,,
E 350 BlueTEC 7G-TRONIC PLUS (212),4,185  (252),VII,54948,,,,,18200,16600,,,,
E 350 BlueTEC 4MATIC 7G-TRONIC PLUS (212),4,190  (258),VII,61166,,,25000,22700,20000,,,,,
E 350 BlueTEC 9G-TRONIC (212),4,190  (258),VII,55216,,,22600,20500,18300,,,,,
E 350 CDI BlueEFFICIENCY 4MATIC 7G-TRONIC,4,195  (265),VII,55365,,,,,,15800,14200,,,
PLUS (212),,,,,,,,,,,,,,
E 350 CDI BlueEFFICIENCY 7G-TRONIC PLUS (212),4,195  (265),VII,52628,,,,,,14950,13450,,,
E 200 Natural Gas Drive 7G-TRONIC PLUS  (212),4,115  (156),VI,48314,,,23350,20600,18300,16400,,,,
E 200 NGT BlueEFFICIENCY Automatik  (212),4,120  (163),VI,46916,,,,,,14750,12950,,,
E 300 BlueTEC HYBRID 7G-TRONIC PLUS (212),4,170  (231),VI,51795,,,,,,15100,13850,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 86 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Mercedes,,,,,,,,,,,,,,
E 300 BlueTEC HYBRID 7G-TRONIC PLUS (212),4,170  (231),VI,52687,,,,18600,17000,15750,,,,
E 200 BlueEFFICIENCY T-Modell  (212),5,135  (184),VI,44000,,,,,,13450,12450,,,
E 200 T-Modell  (212),5,135  (184),VI,45637,,,21550,20050,17900,15950,,,,
E 250 BlueEFFICIENCY T-Modell 7G-TRONIC PLUS,5,150  (204),VI,49058,,,,,,15600,14350,,,
-212,,,,,,,,,,,,,,
E 250 T-Modell 7G-TRONIC PLUS (212),5,155  (211),VI,50694,,,24250,22100,19800,17800,,,,
E 300 BlueEFFICIENCY T-Modell 4MATIC 7G-,5,185  (252),VI,56525,,,,,,18600,16300,,,
TRONIC PLUS (212),,,,,,,,,,,,,,
E 300 BlueEFFICIENCY T-Modell 7G-TRONIC PLUS,5,185  (252),VI,53788,,,,,,17800,15600,,,
-212,,,,,,,,,,,,,,
E 300 T-Modell 4MATIC 7G-TRONIC PLUS (212),5,185  (252),VI,57418,,,,,22550,20050,,,,
E 300 T-Modell 7G-TRONIC PLUS (212),5,185  (252),VI,54681,,,,,21500,19100,,,,
E 350 BlueEFFICIENCY T-Modell 4MATIC 7G-,5,225  (306),VI,59292,,,,,,19150,17000,,,
TRONIC PLUS (212),,,,,,,,,,,,,,
E 350 BlueEFFICIENCY T-Modell 7G-TRONIC PLUS,5,225  (306),VI,56555,,,,,,18450,16400,,,
-212,,,,,,,,,,,,,,
E 350 T-Modell 4MATIC 7G-TRONIC PLUS (212),5,225  (306),VI,60184,,,,,22100,20400,,,,
E 350 T-Modell 7G-TRONIC PLUS (212),5,225  (306),VI,57447,,,,,21350,19600,,,,
E 400 T-Modell 4MATIC 7G-TRONIC PLUS (212),5,245  (333),VI,62207,,,,,25800,22650,,,,
E 400 T-Modell 4MATIC 7G-TRONIC PLUS (212),5,245  (333),VI,62832,,,32350,29700,25450,,,,,
E 400 T-Modell 7G-TRONIC PLUS (212),5,245  (333),VI,59470,,,,,23750,20850,,,,
E 400 T-Modell 7G-TRONIC PLUS (212),5,245  (333),VI,60095,,,30100,27600,23650,,,,,
E 500 BlueEFFICIENCY T-Modell Elegance 4MATIC,5,300  (408),VI,76368,,,,,,24600,22750,,,
7G-TRONIC PLUS (212),,,,,,,,,,,,,,
E 500 BlueEFFICIENCY T-Modell Elegance 7G-,5,300  (408),VI,73631,,,,,,23200,20450,,,
TRONIC PLUS (212),,,,,,,,,,,,,,
E 500 T-Modell Elegance 4MATIC 7G-TRONIC PLUS,5,300  (408),VI,76249,,,,,29400,26350,,,,
-212,,,,,,,,,,,,,,
E 500 T-Modell Elegance 7G-TRONIC PLUS (212),5,300  (408),VI,73512,,,,,28150,25050,,,,
E 200 BlueTEC T-Modell  (212),5,100  (136),VII,44625,,,17900,16150,14250,,,,,
E 200 CDI T-Modell  (212),5,100  (136),VII,43881,,,,,14050,12350,,,,
E 220 BlueTEC BlueEFFICIENCY Edition T-Modell,5,125  (170),VII,50159,,,20950,18500,15950,,,,,
9G-TRONIC (212),,,,,,,,,,,,,,
E 220 BlueTEC T-Modell  (212),5,125  (170),VII,47600,,,19800,17450,15050,,,,,
E 220 BlueTEC T-Modell 4MATIC 7G-TRONIC (212),5,125  (170),VII,52896,,,22900,20200,,,,,,
E 220 CDI T-Modell  (212),5,125  (170),VII,46737,,,,,14600,13150,,,,
E 250 BlueTEC T-Modell  (212),5,150  (204),VII,50635,,,20550,18600,16550,,,,,
E 250 BlueTEC T-Modell 4MATIC 7G-TRONIC PLUS,5,150  (204),VII,55871,,,23000,20800,18500,,,,,
-212,,,,,,,,,,,,,,
E 250 CDI T-Modell  (212),5,150  (204),VII,49772,,,,,16200,14400,,,,
E 250 CDI T-Modell 4MATIC 7G-TRONIC PLUS (212),5,150  (204),VII,55008,,,,,18250,16100,,,,
E 350 BlueTEC T-Modell 7G-TRONIC PLUS (212),5,155  (211),VII,57209,,,,,,16600,14950,,,
E 300 BlueTEC T-Modell 7G-TRONIC PLUS (212),5,170  (231),VII,55692,,,23050,20500,18050,16500,,,,
E 350 BlueTEC T-Modell 4MATIC 7G-TRONIC PLUS,5,185  (252),VII,60898,,,,,20100,18350,,,,
-212,,,,,,,,,,,,,,
E 350 BlueTEC T-Modell 7G-TRONIC PLUS (212),5,185  (252),VII,58161,,,,,19250,17550,,,,
E 350 BlueTEC T-Modell 9G-TRONIC (212),5,190  (258),VII,58429,,,24200,21950,19350,,,,,
E 350 CDI BlueEFFICIENCY T-Modell 4MATIC 7G-,5,195  (265),VII,58578,,,,,,16950,15300,,,
TRONIC PLUS (212),,,,,,,,,,,,,,
E 350 CDI BlueEFFICIENCY T-Modell 7G-TRONIC,5,195  (265),VII,55841,,,,,,16050,14450,,,
PLUS (212),,,,,,,,,,,,,,
E 300 BlueTEC HYBRID T-Modell 7G-TRONIC PLUS,5,170  (231),VI,55008,,,,,,16150,14800,,,
-212,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 87 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Mercedes,,,,,,,,,,,,,,
E 300 BlueTEC HYBRID T-Modell 7G-TRONIC PLUS,5,170  (231),VI,55900,,,,19750,18050,16750,,,,
-212,,,,,,,,,,,,,,
E 63 AMG 4MATIC SPEEDSHIFT MCT 7G-TRONIC,4,410  (557),VI,107636,,,47100,42100,38150,35300,,,,
(212) AMG,,,,,,,,,,,,,,
E 63 AMG S 4MATIC SPEEDSHIFT MCT 7G-,4,430  (585),VI,119060,,,51600,46100,41250,38550,,,,
TRONIC (212) AMG,,,,,,,,,,,,,,
E 63 AMG T-Modell 4MATIC SPEEDSHIFT MCT 7G-,5,410  (557),VI,110254,,,48250,43100,39100,36150,,,,
TRONIC (212) AMG,,,,,,,,,,,,,,
E 63 AMG S T-Modell 4MATIC SPEEDSHIFT MCT,5,430  (585),VI,121678,,,52750,47100,42150,39400,,,,
7G-TRONIC (212) AMG,,,,,,,,,,,,,,
E 200  (213),4,135  (184),VI,43019,25500,23300,21750,,,,,,,
E 200 4MATIC 9G-TRONIC (213),4,135  (184),VI,48314,28600,26150,24450,,,,,,,
E 250 9G-TRONIC (213),4,155  (211),VI,48136,28250,26300,24450,,,,,,,
E 300 9G-TRONIC (213),4,180  (245),VI,52896,32150,29900,27200,,,,,,,
E 400 4MATIC 9G-TRONIC (213),4,245  (333),VI,62963,37700,34750,31800,,,,,,,
E 200 d 9G-TRONIC (213),4,110  (150),VII,44566,25600,22950,21250,,,,,,,
E 220 d 4MATIC 9G-TRONIC (213),4,143  (194),VII,50075,29400,26800,24700,,,,,,,
E 220 d 9G-TRONIC (213),4,143  (194),VII,47338,27450,25000,23050,,,,,,,
E 300 d 9G-TRONIC (213),4,180  (245),VII,52824,32550,,,,,,,,,
E 350 d 4MATIC 9G-TRONIC (213),4,190  (258),VII,58613,33650,30050,,,,,,,,
E 350 d 9G-TRONIC (213),4,190  (258),VII,55876,31550,28200,26300,,,,,,,
E 400 d 4MATIC 9G-TRONIC (213),4,250  (340),VII,63968,41500,,,,,,,,,
E 350 e 9G-TRONIC (213),4,210  (286),VI,59441,37300,33750,30250,,,,,,,
E 200 T-Modell 4MATIC 9G-TRONIC (213),5,135  (184),VI,51640,30100,27700,,,,,,,,
E 200 T-Modell 9G-TRONIC (213),5,135  (184),VI,48903,28500,26250,24350,,,,,,,
E 250 T-Modell 9G-TRONIC (213),5,155  (211),VI,50926,29750,27300,25500,,,,,,,
E 400 T-Modell 4MATIC 9G-TRONIC (213),5,245  (333),VI,65753,39600,36900,33900,,,,,,,
E 200 d T-Modell 9G-TRONIC (213),5,110  (150),VII,47951,27050,24250,22400,,,,,,,
E 220 d All-Terrain 4MATIC 9G-TRONIC (213),5,143  (194),VII,58102,36200,32300,,,,,,,,
E 220 d T-Modell 4MATIC 9G-TRONIC (213),5,143  (194),VII,53461,30850,28100,,,,,,,,
E 220 d T-Modell 9G-TRONIC (213),5,143  (194),VII,50724,28900,26350,24250,,,,,,,
E 300 d T-Modell 9G-TRONIC (213),5,180  (245),VII,55615,33650,,,,,,,,,
E 350 d All-Terrain 4MATIC 9G-TRONIC (213),5,190  (258),VII,65450,41850,37350,,,,,,,,
E 350 d T-Modell 4MATIC 9G-TRONIC (213),5,190  (258),VII,61404,35300,32200,,,,,,,,
E 350 d T-Modell 9G-TRONIC (213),5,190  (258),VII,58667,33200,30250,28200,,,,,,,
E 400 d All-Terrain 4MATIC 9G-TRONIC (213),5,250  (340),VII,70805,48900,,,,,,,,,
E 400 d T-Modell 4MATIC 9G-TRONIC (213),5,250  (340),VII,66759,43850,,,,,,,,,
E 43 AMG 4MATIC 9G-TRONIC (213) AMG,4,295  (401),VI,75387,47550,43200,40450,,,,,,,
E 53 AMG 4MATIC+ SPEEDSHIFT TCT 9G (213),4,336  (457),VI,81093,52950,,,,,,,,,
AMG,,,,,,,,,,,,,,
E 63 AMG 4MATIC+ SPEEDSHIFT MCT (213) AMG,4,420  (571),VI,110111,71550,64550,,,,,,,,
E 63 AMG S 4MATIC+ SPEEDSHIFT MCT (213) AMG,4,450  (612),VI,122427,79550,71000,,,,,,,,
E 43 AMG T-Modell 4MATIC 9G-TRONIC (213) AMG,5,295  (401),VI,78177,49400,44850,41950,,,,,,,
E 53 AMG T-Modell 4MATIC+ SPEEDSHIFT TCT 9G,5,336  (457),VI,83883,54850,,,,,,,,,
(213) AMG,,,,,,,,,,,,,,
E 63 AMG T-Modell 4MATIC+ SPEEDSHIFT MCT,5,420  (571),VI,112907,74450,65800,,,,,,,,
(213) AMG,,,,,,,,,,,,,,
E 63 AMG S T-Modell 4MATIC+ SPEEDSHIFT MCT,5,450  (612),VI,125224,82550,72200,,,,,,,,
(213) AMG,,,,,,,,,,,,,,
E 200 Coupé Avantgarde 4MATIC 9G-TRONIC (238),3,135  (184),V,51670,32050,29900,,,,,,,,
E 200 Coupé Avantgarde 9G-TRONIC (238),3,135  (184),V,48933,30350,26850,25050,,,,,,,
E 300 Coupé Avantgarde 9G-TRONIC (238),3,180  (245),V,54740,35650,32150,29150,,,,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 88 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Mercedes,,,,,,,,,,,,,,
E 350 EQ Boost Coupé Avantgarde 9G-TRONIC (238) 3,,230  (313),V,59917,40100,35450,,,,,,,,
E 400 Coupé Avantgarde 4MATIC 9G-TRONIC (238),3,245  (333),V,64807,40700,37850,34550,,,,,,,
E 220 d Coupé Avantgarde 4MATIC 9G-TRONIC (238) 3,,143  (194),VI,53312,34000,31300,,,,,,,,
E 220 d Coupé Avantgarde 9G-TRONIC (238),3,143  (194),VI,50575,32250,29700,27450,,,,,,,
E 300 d Coupé Avantgarde 9G-TRONIC (238),3,180  (245),VI,54704,35150,,,,,,,,,
E 350 d Coupé Avantgarde 4MATIC 9G-TRONIC (238) 3,,190  (258),VI,61493,37900,35250,,,,,,,,
E 200 Cabriolet Avantgarde 4MATIC 9G-TRONIC,3,135  (184),V,57144,35100,31900,,,,,,,,
-238,,,,,,,,,,,,,,
E 200 Cabriolet Avantgarde 9G-TRONIC (238),3,135  (184),V,54407,33450,30350,,,,,,,,
E 300 Cabriolet Avantgarde 9G-TRONIC (238),3,180  (245),V,60214,38250,34500,,,,,,,,
E 350 EQ Boost Cabriolet Avantgarde 9G-TRONIC,3,230  (313),V,65391,42900,38700,,,,,,,,
-238,,,,,,,,,,,,,,
E 400 Cabriolet Avantgarde 4MATIC 9G-TRONIC,3,245  (333),V,70281,44350,41700,,,,,,,,
-238,,,,,,,,,,,,,,
E 220 d Cabriolet Avantgarde 4MATIC 9G-TRONIC,3,143  (194),VI,58786,36500,32900,,,,,,,,
-238,,,,,,,,,,,,,,
E 220 d Cabriolet Avantgarde 9G-TRONIC (238),3,143  (194),VI,56049,34800,31400,,,,,,,,
E 300 d Cabriolet Avantgarde 9G-TRONIC (238),3,180  (245),VI,60178,37450,,,,,,,,,
E 350 d Cabriolet Avantgarde 4MATIC 9G-TRONIC,3,190  (258),VI,66967,41600,38350,,,,,,,,
-238,,,,,,,,,,,,,,
E 53 AMG Coupé 4MATIC+ SPEEDSHIFT TCT 9G-,3,336  (457),V,82574,55750,,,,,,,,,
TRONIC (238) AMG,,,,,,,,,,,,,,
E 53 AMG Cabriolet 4MATIC+ SPEEDSHIFT TCT 9G-,3,336  (457),V,88048,58650,,,,,,,,,
TRONIC (238) AMG,,,,,,,,,,,,,,
G 300 CDI Station-Wagen Professional LL Automatik,5,135  (184),VII,66759,,,,,,41050,37900,,,
lang (461),,,,,,,,,,,,,,
G 500 Cabriolet 7G-TRONIC PLUS (463),2,285  (387),VI,100900,,,,,,66200,56600,,,
G 500 Station-Wagen 7G-TRONIC (463),5,285  (387),VI,102060,,,,57600,52450,46250,40300,,,
G 500 7G-TRONIC PLUS (463),5,310  (422),VI,106701,79200,67400,63100,58150,,,,,,
G 500 9G-TRONIC (463),5,310  (422),VI,107041,85850,,,,,,,,,
G 350 BlueTEC Station-Wagen 7G-TRONIC (463),5,155  (211),VII,87066,,,,45550,41000,37550,34200,,,
G 350 d 7G-TRONIC PLUS (463),5,180  (245),VII,91410,69600,60450,53600,47800,,,,,,
G 500 4x4² 7G-TRONIC PLUS (463) 4x4²,5,310  (422),VI,231693,174050,151150,138450,127450,,,,,,
G 63 AMG Station-Wagen SPEEDSHIFT PLUS 7G-,5,400  (544),VI,139766,,,,75150,68250,61300,55150,,,
TRONIC (463) AMG,,,,,,,,,,,,,,
G 63 AMG SPEEDSHIFT PLUS 7G-TRONIC (463),5,420  (571),VI,145359,98700,90850,81800,75700,,,,,,
AMG,,,,,,,,,,,,,,
G 63 AMG SPEEDSHIFT PLUS 9G-TRONIC (463),5,430  (585),VI,152725,108550,,,,,,,,,
AMG,,,,,,,,,,,,,,
G 65 AMG Station-Wagen SPEEDSHIFT PLUS 7G-,5,450  (612),VI,268345,,,,140550,120600,102550,92250,,,
TRONIC (463) AMG,,,,,,,,,,,,,,
G 65 AMG SPEEDSHIFT PLUS 7G-TRONIC (463),5,463  (630),VI,275723,208600,175700,159500,144650,,,,,,
AMG,,,,,,,,,,,,,,
GLA 180  (156),5,90  (122),IV,27787,,16850,15050,13550,,,,,,
GLA 180  (156),5,90  (122),IV,28941,19650,17750,,,,,,,,
GLA 200  (156),5,115  (156),IV,29750,,19000,16950,15950,14550,12950,,,,
GLA 200  (156),5,115  (156),IV,30821,21300,19600,,,,,,,,
GLA 220 4MATIC 7G-DCT (156),5,135  (184),IV,37146,25800,23300,,,,,,,,
GLA 250  (156),5,155  (211),IV,33594,,20900,19600,17850,16700,14900,,,,
GLA 250 4MATIC 7G-DCT (156),5,155  (211),IV,37985,,23600,22050,20150,17650,15750,,,,
GLA 250  (156),5,155  (211),IV,34665,23750,21400,,,,,,,,
GLA 250 4MATIC 7G-DCT (156),5,155  (211),IV,38961,26700,24100,,,,,,,,
GLA 180 CDI  (156),5,80  (109),V,30732,,,,14950,12850,,,,,
GLA 180 d SCORE! (156),5,80  (109),V,33737,,18250,17300,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",,,,,,,,,,Seite: 89 von 171,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Mercedes,,,,,,,,,,,,,,
GLA 180 d  (156),5,80  (109),V,31952,19400,17450,,,,,,,,
GLA 200 CDI  (156),5,100  (136),V,32428,,,,15600,13650,12100,,,,
GLA 200 CDI 4MATIC 7G-DCT (156),5,100  (136),V,36807,,,,17700,15500,13750,,,,
GLA 200 d SCORE! (156),5,100  (136),V,35432,,20300,18100,,,,,,,
GLA 200 d SCORE! 4MATIC 7G-DCT (156),5,100  (136),V,39823,,22700,20250,,,,,,,
GLA 200 d  (156),5,100  (136),V,36658,21750,19400,,,,,,,,
GLA 200 d 4MATIC 7G-DCT (156),5,100  (136),V,38871,24500,21900,,,,,,,,
GLA 220 CDI 4MATIC 7G-DCT (156),5,125  (170),V,45559,,,,22050,20150,17100,,,,
