Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
,Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,
A1 Sportback 1.4 TFSI cod Attraction (8X),5,103  (140),IV,21250,,,,,10900,9725,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",,,,,(*) = Aktuelle Notierung lag zum Zeitpunkt des Drucks noch nicht,,,,,,Seite: 5 von 171,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Audi,,,,,,,,,,,,,,
A1 Sportback 1.4 TFSI cod  (8X),5,110  (150),IV,24350,16900,15100,13500,11700,10400,,,,,
A1 Sportback 1.4 TFSI Ambition S tronic  (8X),5,136  (185),IV,25800,,,,,13350,11800,10800,,,
A1 Sportback 1.8 TFSI sport S tronic (8X),5,141  (192),IV,27500,19800,17700,16300,14550,12950,,,,,
A1 Sportback 1.6 TDI Attraction (8X),5,66  (90),V,19750,,,,,9000,7950,7200,,,
A1 Sportback 1.4 TDI  (8X),5,66  (90),V,20800,13250,11850,10600,9450,8375,,,,,
A1 Sportback 1.6 TDI Attraction (8X),5,77  (105),V,20650,,,,,9225,8150,7400,,,
A1 Sportback 1.6 TDI  (8X),5,85  (116),V,21900,14150,12600,11250,10050,8950,,,,,
A1 Sportback 2.0 TDI Ambition (8X),5,105  (143),V,23750,,,,,10850,9600,8700,,,
A1 Sportback 30 TFSI  (GB),5,85  (116),IV,21150,15300,,,,,,,,,
A1 Sportback 35 TFSI S tronic (GB),5,110  (150),IV,25050,18100,,,,,,,,,
A1 Sportback 40 TFSI S line S tronic (GB),5,147  (200),IV,29100,21050,,,,,,,,,
S1  (8X),3,170  (231),IV,30700,23650,21100,18850,16850,15000,,,,,
S1 Sportback  (8X),5,170  (231),IV,31550,24300,21700,19400,17300,15450,,,,,
A3 Cabriolet 1.2 TFSI Attraction (8P),2,77  (105),IV,25500,,,,,,11000,10050,,,
A3 Cabriolet 1.4 TFSI Attraction (8P),2,92  (125),IV,27150,,,,,,11400,10450,,,
A3 Cabriolet 1.6 TDI Attraction (8P),2,77  (105),V,29000,,,,,,9750,8650,,,
A3 1.2 TFSI Attraction (8V),3,77  (105),IV,21900,,,,,10900,10300,,,,
A3 1.2 TFSI Attraction (8V),3,81  (110),IV,22800,,,12350,11550,10950,,,,,
A3 1.0 TFSI  (8V),3,85  (115),IV,23750,,13350,12150,,,,,,,
A3 1.4 TFSI Attraction (8V),3,90  (122),IV,22800,,,,,11650,10950,10200,,,
A3 1.4 TFSI Attraction (8V),3,92  (125),IV,23700,,,13350,12150,11350,,,,,
A3 1.4 TFSI cod ultra Attraction (8V),3,110  (150),IV,24950,,,13900,12750,11900,,,,,
A3 1.4 TFSI cod ultra  (8V),3,110  (150),IV,25000,,15400,13900,,,,,,,
A3 1.5 TFSI cod  (8V),3,110  (150),IV,25700,,15800,,,,,,,,
A3 1.8 TFSI Attraction (8V),3,132  (180),IV,25900,,,,,,12000,11100,,,
A3 1.8 TFSI Attraction quattro S tronic (8V),3,132  (180),IV,29750,,,,,,13600,12550,,,
A3 2.0 TFSI sport quattro S tronic  (8V),3,140  (190),IV,34250,,20850,18600,,,,,,,
A3 1.6 TDI Attraction (8V),3,77  (105),V,24800,,,,,9825,8975,8025,,,
A3 1.6 TDI Attraction (8V),3,81  (110),V,25700,,,11500,10500,9725,,,,,
A3 1.6 TDI  (8V),3,81  (110),V,25950,,13550,12200,,,,,,,
A3 1.6 TDI  (8V),3,85  (116),V,26650,,13900,,,,,,,,
A3 2.0 TDI Attraction (8V),3,110  (150),V,26600,,,,,11050,9875,8950,,,
A3 2.0 TDI Attraction quattro (8V),3,110  (150),V,28550,,,,,11700,10450,9475,,,
A3 2.0 TDI  (8V),3,110  (150),V,28850,,15850,14150,,,,,,,
A3 2.0 TDI quattro (8V),3,110  (150),V,30850,,16800,15000,,,,,,,
A3 2.0 TDI Attraction (8V),3,135  (184),V,29800,,,14650,13400,12550,11550,,,,
A3 2.0 TDI Attraction quattro S tronic (8V),3,135  (184),V,33650,,,16350,14950,14000,12900,,,,
A3 2.0 TDI sport quattro S tronic (8V),3,135  (184),V,36600,,21150,18500,,,,,,,
A3 Sportback 1.2 TFSI Attraction (8V),5,77  (105),IV,22800,,,,,11600,11000,,,,
A3 Sportback 1.2 TFSI Attraction (8V),5,81  (110),IV,23700,,,13250,12400,11750,,,,,
A3 Sportback 1.0 TFSI  (8V),5,85  (115),IV,25350,16000,14250,13000,,,,,,,
A3 Sportback 30 TFSI  (8V),5,85  (115),IV,26700,16650,,,,,,,,,
A3 Sportback 1.4 TFSI Attraction (8V),5,90  (122),IV,23700,,,,,12000,11250,10500,,,
A3 Sportback 1.4 TFSI Attraction (8V),5,92  (125),IV,24600,,,14300,13000,12150,,,,,
A3 Sportback 1.4 TFSI cod ultra Attraction (8V),5,110  (150),IV,25850,,,15350,14050,13050,,,,,
A3 Sportback 1.4 TFSI cod ultra  (8V),5,110  (150),IV,25900,,16900,15550,,,,,,,
A3 Sportback 1.5 TFSI cod  (8V),5,110  (150),IV,27300,18300,16650,,,,,,,,
A3 Sportback 35 TFSI  (8V),5,110  (150),IV,27800,18650,,,,,,,,,
A3 Sportback 1.8 TFSI Attraction quattro S tronic (8V),5,132  (180),IV,31900,,,18150,16700,15650,14050,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 6 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
Audi,,,,,,,,,,,,,,
A3 Sportback 1.8 TFSI Attraction S tronic  (8V),5,132  (180),IV,28700,,,,,,13600,12250,,,
A3 Sportback 2.0 TFSI sport quattro S tronic  (8V),5,140  (190),IV,35850,25200,22500,20100,,,,,,,
A3 Sportback 1.6 TDI Attraction (8V),5,77  (105),V,25700,,,,,10800,10050,9050,,,
A3 Sportback 1.6 TDI Attraction (8V),5,81  (110),V,26600,,,12400,11300,10450,,,,,
A3 Sportback 1.6 TDI  (8V),5,81  (110),V,26850,,14600,13150,,,,,,,
A3 Sportback 1.6 TDI  (8V),5,85  (116),V,28350,16450,14950,,,,,,,,
A3 Sportback 30 TDI  (8V),5,85  (116),V,29800,17000,,,,,,,,,
A3 Sportback 2.0 TDI Attraction (8V),5,110  (150),V,27500,,,,,11850,10550,9575,,,
A3 Sportback 2.0 TDI Attraction quattro (8V),5,110  (150),V,29450,,,,,12500,11150,10100,,,
A3 Sportback 2.0 TDI  (8V),5,110  (150),V,32550,18300,16650,15150,,,,,,,
A3 Sportback 2.0 TDI quattro (8V),5,110  (150),V,31750,19300,17550,16000,,,,,,,
A3 Sportback 35 TDI  (8V),5,110  (150),V,31100,18650,,,,,,,,,
A3 Sportback 2.0 TDI Attraction (8V),5,135  (184),V,30700,,,15900,14550,13600,12500,,,,
A3 Sportback 2.0 TDI Attraction quattro (8V),5,135  (184),V,34550,,,17650,16200,15100,13900,,,,
A3 Sportback 2.0 TDI sport quattro S tronic (8V),5,135  (184),V,38300,25550,22800,19950,,,,,,,
A3 Sportback g-tron Attraction  (8V),5,81  (110),IV,26800,,,15100,13850,12800,,,,,
A3 Sportback g-tron  (8V),5,81  (110),IV,27550,20100,17950,16000,,,,,,,
A3 Sportback e-tron Attraction S tronic (8V),5,150  (204),IV,38400,,,20650,18850,17450,,,,,
A3 Sportback e-tron S tronic (8V),5,150  (204),IV,37900,25350,22600,20200,,,,,,,
A3 Limousine 1.0 TFSI  (8V),4,85  (115),IV,26250,16300,14550,13300,,,,,,,
A3 Limousine 1.4 TFSI Attraction (8V),4,92  (125),IV,25500,,,14150,13000,12150,11350,,,,
A3 Limousine 1.4 TFSI cod Attraction (8V),4,103  (140),IV,25500,,,,,12800,11900,,,,
A3 Limousine 1.4 TFSI cod ultra Attraction (8V),4,110  (150),IV,32650,,,18350,16750,15050,,,,,
A3 Limousine 1.4 TFSI cod ultra  (8V),4,110  (150),IV,26800,,17150,15650,,,,,,,
