2011,2012,2013,2014,2015,2016,2017,2018,kw,mark,model
,,,,,18750,29900,,85,Audi,A3 Cabriolet 1.4 TFSI Attraction (8V)
,,,,,19800,22200,32150,85,Audi,A3 Cabriolet 1.4 TFSI (8V)
,,14450,16150,17950,19700,31400,,92,Audi,A3 Cabriolet 1.4 TFSI Attraction (8V)
,,14950,16500,31700,,,,103,Audi,A3 Cabriolet 1.4 TFSI cod Attraction (8V)
,,,,,21350,23950,32700,110,Audi,A3 Cabriolet 1.4 TFSI cod ultra (8V)
,,,,,,24450,34100,110,Audi,A3 Cabriolet 1.5 TFSI cod (8V)
,,16550,18150,19700,22250,34850,,132,Audi,A3 Cabriolet 1.8 TFSI Attraction (8V)
,,,19950,21650,24400,38700,,132,Audi,A3 Cabriolet 1.8 TFSI Attraction quattro S tronic (8V)
,,,,,26750,29950,42650,140,Audi,A3 Cabriolet 2.0 TFSI sport quattro S tronic
,,,15450,16950,18800,33400,,81,Audi,A3 Cabriolet 1.6 TDI Attraction (8V)
,,14950,16500,18150,20350,35750,,110,Audi,A3 Cabriolet 2.0 TDI Attraction (8V)
,,,17200,18900,21200,37700,,110,Audi,A3 Cabriolet 2.0 TDI Attraction quattro (8V)
,,,,,20900,23450,37250,110,Audi,A3 Cabriolet 2.0 TDI (8V)
,,,,,21800,24400,38550,110,Audi,A3 Cabriolet 2.0 TDI quattro (8V)
,,,17500,19150,21250,37500,,135,Audi,A3 Cabriolet 2.0 TDI Attraction (8V)
,,,19050,20900,23200,41350,,135,Audi,A3 Cabriolet 2.0 TDI Attraction quattro S tronic (8V)
,,,,,25050,28050,45000,135,Audi,A3 Cabriolet 2.0 TDI sport quattro S tronic (8V)
,24100,26500,49900,,,,,250,Audi,RS3 Sportback S tronic (8P)
,,,,35400,39000,53500,,270,Audi,RS3 Sportback S tronic (8V)
,,,,,,42100,55900,294,Audi,RS3 Sportback S tronic (8V)
,,,,,,42600,57200,294,Audi,RS3 Limousine S tronic (8V)
,19850,21300,23050,24600,26200,40050,,221,Audi,S3 (8V)
,,,,,27500,30800,41450,228,Audi,S3 (8V)
,,22600,24250,26000,27650,40950,,221,Audi,S3 Sportback
,,,,,29000,32450,43050,228,Audi,S3 Sportback
,,22450,24150,25850,27500,41550,,221,Audi,S3 Limousine
,,,,,29050,32500,43950,228,Audi,S3 Limousine
,,,26050,27850,31400,49350,,221,Audi,S3 Cabriolet S tronic (8V)
,,,,,32600,36500,51850,228,Audi,S3 Cabriolet S tronic (8V)
10050,11200,12900,14500,16250,28850,,,88,Audi,A4 1.8 TFSI Attraction (B8)
10800,12050,13850,31150,,,,,125,Audi,A4 1.8 TFSI Attraction (B8)
,12950,14900,33500,,,,,125,Audi,A4 1.8 TFSI Attraction quattro (B8)
11000,12300,14150,15900,17800,34200,,,132,Audi,A4 2.0 TFSI flexible fuel Attraction (B8)
11800,13150,15150,17000,19050,36550,,,132,Audi,A4 2.0 TFSI flexible fuel Attraction quattro
11150,12400,14300,35450,,,,,155,Audi,A4 2.0 TFSI Attraction (B8)
11900,13250,15200,37800,,,,,155,Audi,A4 2.0 TFSI Attraction quattro (B8)
,,14500,16300,18250,37700,,,165,Audi,A4 2.0 TFSI Attraction (B8)
,,15450,17350,19450,40050,,,165,Audi,A4 2.0 TFSI Attraction quattro (B8)
,16350,18800,21100,44950,,,,200,Audi,A4 3.0 TFSI Attraction quattro S tronic (B8)
9250,10300,11950,13550,15200,31250,,,88,Audi,A4 2.0 TDI Attraction (B8)
9300,10350,11950,13650,32600,,,,100,Audi,A4 2.0 TDI 112g Attraction (B8)
,,,13450,15050,34450,,,100,Audi,A4 2.0 TDI ultra Attraction (B8)
9950,11100,12800,32250,,,,,105,Audi,A4 2.0 TDI Attraction (B8)
,11900,13750,34600,,,,,105,Audi,A4 2.0 TDI Attraction quattro (B8)
,,12100,13750,15400,33350,,,110,Audi,A4 2.0 TDI Attraction (B8)
,,12950,14750,16500,35700,,,110,Audi,A4 2.0 TDI Attraction quattro (B8)
10150,11350,13100,34700,,,,,120,Audi,A4 2.0 TDI 115g Attraction (B8)
,,,14550,16300,35850,,,120,Audi,A4 2.0 TDI ultra Attraction (B8)
9400,10500,12100,13750,15400,35450,,,130,Audi,A4 2.0 TDI Attraction (B8)
10050,11200,12950,14750,16500,37800,,,130,Audi,A4 2.0 TDI Attraction quattro (B8)
,,,14850,16650,36950,,,140,Audi,A4 2.0 TDI Attraction (B8)
,,,15200,17050,39300,,,140,Audi,A4 2.0 TDI Attraction quattro (B8)
10600,11850,13650,15550,17400,38250,,,150,Audi,A4 3.0 TDI Attraction (B8)
12200,13600,15700,17850,19950,44250,,,180,Audi,A4 3.0 TDI Attraction quattro (B8)
9825,11000,12650,14200,15900,30600,,,88,Audi,A4 Avant 1.8 TFSI Attraction (B8)
11600,12950,14850,32800,,,,,125,Audi,A4 Avant 1.8 TFSI Attraction (B8)
,13850,15950,35150,,,,,125,Audi,A4 Avant 1.8 TFSI Attraction quattro (B8)
12050,13450,15450,17400,19500,35950,,,132,Audi,A4 Avant 2.0 TFSI flexible fuel Attraction (B8)
12850,14350,16450,18550,20750,38300,,,132,Audi,A4 Avant 2.0 TFSI flexible fuel Attraction quattro
14950,16650,19100,41200,,,,,155,Audi,A4 allroad 2.0 TFSI quattro (B8)
12000,13400,15400,37100,,,,,155,Audi,A4 Avant 2.0 TFSI Attraction (B8)
12750,14250,16400,39450,,,,,155,Audi,A4 Avant 2.0 TFSI Attraction quattro (B8)
,,19100,20950,23450,26300,42650,,165,Audi,A4 allroad 2.0 TFSI quattro (B8)
,,16150,18150,20300,39450,,,165,Audi,A4 Avant 2.0 TFSI Attraction (B8)
,,17150,19250,21550,41800,,,165,Audi,A4 Avant 2.0 TFSI Attraction quattro (B8)
,18200,20900,23500,46600,,,,200,Audi,A4 Avant 3.0 TFSI Attraction quattro S tronic (B8)
8975,10050,11600,13200,14800,33000,,,88,Audi,A4 Avant 2.0 TDI Attraction (B8)
9700,10800,12500,14200,34250,,,,100,Audi,A4 Avant 2.0 TDI 116g Attraction (B8)
,,,13950,15600,36200,,,100,Audi,A4 Avant 2.0 TDI ultra Attraction (B8)
,14250,16400,38000,,,,,105,Audi,A4 allroad 2.0 TDI quattro (B8)
9550,10650,12300,33900,,,,,105,Audi,A4 Avant 2.0 TDI Attraction (B8)
,11400,13150,36250,,,,,105,Audi,A4 Avant 2.0 TDI Attraction quattro (B8)
,,16400,18200,20400,39200,,,110,Audi,A4 allroad 2.0 TDI quattro (B8)
,,12150,13850,15500,35100,,,110,Audi,A4 Avant 2.0 TDI Attraction (B8)
,,13000,14800,16600,37450,,,110,Audi,A4 Avant 2.0 TDI Attraction quattro (B8)
10550,11750,13600,36350,,,,,120,Audi,A4 Avant 2.0 TDI 120g Attraction (B8)
,,,15300,17100,37600,,,120,Audi,A4 Avant 2.0 TDI ultra Attraction (B8)
13300,14800,17050,18950,20800,41300,,,130,Audi,A4 allroad 2.0 TDI quattro (B8)
9550,10650,12300,14000,15700,37200,,,130,Audi,A4 Avant 2.0 TDI Attraction (B8)
10200,11350,13100,14900,16700,39550,,,130,Audi,A4 Avant 2.0 TDI Attraction quattro (B8)
,,,18650,20250,22200,41900,,140,Audi,A4 allroad 2.0 TDI quattro (B8)
,,,14850,16650,38700,,,140,Audi,A4 Avant 2.0 TDI Attraction (B8)
,,,15800,17700,41050,,,140,Audi,A4 Avant 2.0 TDI Attraction quattro (B8)
10600,11850,13650,15550,17400,40000,,,150,Audi,A4 Avant 3.0 TDI Attraction (B8)
