Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
-205,,,,,,,,,,,,,,
C 300 d T-Modell Avantgarde 9G-TRONIC (205),5,180  (245),,VI,48153,,32300,30350,,,,,,
C 300 BlueTEC HYBRID T-Modell 7G-TRONIC PLUS,5,170  (231),,VI,48671,,,,,,19200,16200,,
-205,,,,,,,,,,,,,,
C 300 h T-Modell 7G-TRONIC PLUS (205),5,170  (231),,VI,49004,,,27000,24600,21850,19200,,,
C 350 e T-Modell Avantgarde 7G-TRONIC PLUS (205),5,205  (279),,IV,52717,,,30650,29150,27400,25500,,,
C 300 de T-Modell Avantgarde 9G-TRONIC (205),5,225  (306),,VI,50771,35750,33600,,,,,,,
C 300 e T-Modell Avantgarde 9G-TRONIC (205),5,235  (320),,IV,48391,34000,32000,,,,,,,
C 180 Coupé  (205),2,115,-156,IV,36033,,,26000,24550,23200,21250,,,
C 180 Coupé  (205),2,115,-156,IV,42879,33350,30650,28100,,,,,,
C 180 Coupé 9G-TRONIC (205),2,115,-156,IV,39562,32100,29000,,,,,,,
C 200 Coupé  (205),2,135  (184),,IV,38056,,,27650,25950,24500,22550,,,
C 200 Coupé 4MATIC 9G-TRONIC (205),2,135  (184),,IV,42935,,,31200,29250,27700,,,,
C 200 Coupé 4MATIC 9G-TRONIC (205),2,145  (197),,IV,44005,35800,33300,29300,,,,,,
C 200 Coupé 9G-TRONIC (205),2,145  (197),,IV,41685,35600,32150,30000,,,,,,
C 250 Coupé 7G-TRONIC PLUS (205),2,155  (211),,IV,43292,,,30750,28950,27350,25200,,,
C 300 Coupé 7G-TRONIC PLUS (205),2,180  (245),,IV,45256,,,32200,30200,28350,26100,,,
C 300 Coupé 9G-TRONIC (205),2,190  (258),,IV,46951,,35200,32950,,,,,,
C 300 Coupé 4MATIC 9G-TRONIC (205),2,200  (272),,IV,48900,39300,36900,,,,,,,
C 300 Coupé 9G-TRONIC (205),2,200  (272),,IV,46580,37450,35150,,,,,,,
C 400 Coupé 4MATIC 9G-TRONIC (205),2,245  (333),,IV,53586,,,37550,34600,32500,,,,
C 400 Coupé 4MATIC 9G-TRONIC (205),2,245  (333),,IV,54851,44250,39900,37600,,,,,,
C 43 AMG Coupé 4MATIC 9G-TRONIC (205),2,270  (367),,IV,61761,,,44900,41150,38500,,,,
C 43 AMG Coupé 4MATIC AMG SPEEDSHIFT TCT 9G-,2,287  (390),,IV,63272,53000,49600,47300,,,,,,
TRONIC (205),,,,,,,,,,,,,,
C 63 AMG Coupé SPEEDSHIFT MCT (205),2,350  (476),,IV,78302,,,55900,53300,50800,47500,,,
C 63 AMG Coupé 4MATIC AMG SPEEDSHIFT TCT 9G-,2,350  (476),,IV,77929,68200,63350,55900,,,,,,
TRONIC (205),,,,,,,,,,,,,,
C 63 S AMG Coupé SPEEDSHIFT MCT (205),2,375  (510),,IV,86573,,,61050,57550,54850,51500,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 97 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
Mercedes-Benz,,,,,,,,,,,,,,
C 63 S AMG Coupé 4MATIC AMG SPEEDSHIFT TCT 9G-,2,375  (510),,IV,86455,75650,70250,61050,,,,,,
TRONIC (205),,,,,,,,,,,,,,
C 200 d Coupé  (205),2,118  (160),,VI,40763,,29800,26700,,,,,,
C 220 d Coupé  (205),2,125  (170),,VI,40020,,,26500,24700,22900,20300,,,
C 220 d Coupé 4MATIC 9G-TRONIC (205),2,125  (170),,VI,44899,,,28900,26950,25000,,,,
C 220 d Coupé 4MATIC 9G-TRONIC (205),2,143  (194),,VI,47344,,33050,31300,,,,,,
C 220 d Coupé 9G-TRONIC (205),2,143  (194),,VI,44964,,31600,29900,,,,,,
C 250 d Coupé 4MATIC 9G-TRONIC (205),2,150  (204),,VI,47874,,,31100,29000,26900,,,,
C 250 d Coupé 9G-TRONIC (205),2,150  (204),,VI,45494,,,30100,28050,25950,23550,,,
C 300 d Coupé 4MATIC 9G-TRONIC (205),2,180  (245),,VI,50260,,34750,31050,,,,,,
C 300 d Coupé 9G-TRONIC (205),2,180  (245),,VI,47880,,34750,31300,,,,,,
C 180 Cabriolet  (205),2,115,-156,IV,42727,,,28100,26850,25600,,,,
C 180 Cabriolet 9G-TRONIC (205),2,115,-156,IV,45083,35750,32250,,,,,,,
C 200 Cabriolet  (205),2,135  (184),,IV,44750,,,31100,29100,27100,,,,
C 200 Cabriolet 4MATIC 9G-TRONIC (205),2,135  (184),,IV,49629,,,31750,29750,27400,,,,
C 200 Cabriolet 4MATIC 9G-TRONIC (205),2,145  (197),,IV,49526,40900,36550,33900,,,,,,
C 200 Cabriolet 9G-TRONIC (205),2,145  (197),,IV,47206,38250,34200,32300,,,,,,
C 250 Cabriolet 9G-TRONIC (205),2,155  (211),,IV,49986,,,33950,31700,29800,,,,
C 300 Cabriolet 9G-TRONIC (205),2,180  (245),,IV,51949,,,35850,33750,31850,,,,
C 300 Cabriolet 9G-TRONIC (205),2,190  (258),,IV,52616,,37050,35000,,,,,,
C 300 Cabriolet 4MATIC 9G-TRONIC (205),2,200  (272),,IV,54421,45500,41900,,,,,,,
C 300 Cabriolet 9G-TRONIC (205),2,200  (272),,IV,52101,43600,40100,,,,,,,
C 400 Cabriolet 4MATIC 9G-TRONIC (205),2,245  (333),,IV,60279,,,41850,39650,37450,,,,
C 400 Cabriolet 4MATIC 9G-TRONIC (205),2,245  (333),,IV,60372,49300,44450,41900,,,,,,
C 43 AMG Cabriolet 4MATIC 9G-TRONIC (205),2,270  (367),,IV,68455,,,49850,45600,41900,,,,
C 43 AMG Cabriolet 4MATIC AMG SPEEDSHIFT TCT,2,287  (390),,IV,68794,57850,52250,49300,,,,,,
9G-TRONIC (205),,,,,,,,,,,,,,
C 63 AMG Cabriolet SPEEDSHIFT MCT (205),2,350  (476),,IV,84014,,,60200,57550,55000,,,,
C 63 AMG Cabriolet 4MATIC AMG SPEEDSHIFT TCT,2,350  (476),,IV,83497,70600,67000,60200,,,,,,
9G-TRONIC (205),,,,,,,,,,,,,,
C 63 S AMG Cabriolet SPEEDSHIFT MCT (205),2,375  (510),,IV,92285,,,66400,62850,59300,,,,
C 63 S AMG Cabriolet 4MATIC AMG SPEEDSHIFT TCT,2,375  (510),,IV,92023,79100,75000,66400,,,,,,
9G-TRONIC (205),,,,,,,,,,,,,,
C 200 d Cabriolet  (205),2,118  (160),,VI,46963,,34250,30400,,,,,,
C 220 d Cabriolet  (205),2,125  (170),,VI,47249,,,29100,27150,25100,,,,
C 220 d Cabriolet 4MATIC 9G-TRONIC (205),2,125  (170),,VI,52128,,,32100,29950,27700,,,,
C 220 d Cabriolet 4MATIC 9G-TRONIC (205),2,143  (194),,VI,53544,,35100,33250,,,,,,
C 220 d Cabriolet 9G-TRONIC (205),2,143  (194),,VI,51164,,34050,32200,,,,,,
C 250 d Cabriolet 9G-TRONIC (205),2,150  (204),,VI,52723,,,32650,30050,27700,,,,
C 300 d Cabriolet 9G-TRONIC (205),2,180  (245),,VI,54080,,37800,31400,,,,,,
CLA Shooting Brake 180  (117),5,90  (122),,III,29810,,,,,17700,16650,,,
CLA Shooting Brake 180  (117),5,90  (122),,III,30274,,,20200,18900,18100,,,,
CLA Shooting Brake 200  (117),5,115,-156,III,32725,,,,,18650,17300,,,
CLA Shooting Brake 200  (117),5,115,-156,III,33272,,,21000,20150,19100,,,,
CLA Shooting Brake 220 4MATIC 7G-DCT (117),5,135  (184),,III,37830,,,24050,23450,21750,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 98 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
Mercedes-Benz,,,,,,,,,,,,,,
CLA Shooting Brake 250  (117),5,155  (211),,III,37580,,,,,21700,20000,,,
CLA Shooting Brake 250 4MATIC 7G-DCT (117),5,155  (211),,III,41959,,,,,23900,22050,,,
CLA Shooting Brake 250  (117),5,155  (211),,III,38128,,,24500,22950,21500,,,,
CLA Shooting Brake 250 4MATIC 7G-DCT (117),5,155  (211),,III,42412,,,27000,25300,23700,,,,
CLA Shooting Brake 250 Sport 4MATIC 7G-DCT (117),5,160  (218),,III,45660,,,,,25300,23100,,,
CLA Shooting Brake 250 Sport 4MATIC 7G-DCT (117),5,160  (218),,III,46113,,,30050,27600,25850,,,,
CLA Shooting Brake 45 AMG 4MATIC SPEEDSHIFT,5,265  (360),,III,57269,,,,,,30200,,,
DCT 7G-TRONIC (117),,,,,,,,,,,,,,
CLA Shooting Brake 45 AMG 4MATIC SPEEDSHIFT,5,280  (381),,III,57269,,,,,33150,30500,,,
DCT 7G-TRONIC (117),,,,,,,,,,,,,,
CLA Shooting Brake 45 AMG 4MATIC SPEEDSHIFT,5,280  (381),,III,57804,,,38200,36150,32500,,,,
DCT 7G-TRONIC (117),,,,,,,,,,,,,,
CLA Shooting Brake 180 d  (117),5,80  (109),,V,32011,,,,,16050,14650,,,
CLA Shooting Brake 180 d  (117),5,80  (109),,V,32558,,,19100,17750,16000,,,,
CLA Shooting Brake 180 d BlueEFFICIENCY Edition,5,80  (109),,V,32130,,,,17500,15800,,,,
-117,,,,,,,,,,,,,,
CLA Shooting Brake 200 d  (117),5,100  (136),,V,34540,,,,,17900,16300,,,
CLA Shooting Brake 200 d 4MATIC 7G-DCT (117),5,100  (136),,V,38919,,,,,19900,18150,,,
CLA Shooting Brake 200 d  (117),5,100  (136),,V,38086,,24400,21700,18800,17650,,,,
CLA Shooting Brake 200 d 4MATIC 7G-DCT (117),5,100  (136),,V,40287,,25800,22950,20900,19600,,,,
CLA Shooting Brake 220 d 4MATIC 7G-DCT (117),5,125  (170),,V,42632,,26100,23250,,,,,,
CLA Shooting Brake 220 d 7G-DCT (117),5,125  (170),,V,40430,,25000,22250,,,,,,
CLA Shooting Brake 220 d 4MATIC 7G-DCT (117),5,130  (177),,V,41275,,,,,21350,18800,,,
CLA Shooting Brake 220 d 7G-DCT (117),5,130  (177),,V,39074,,,,,20500,18050,,,
CLA Shooting Brake 220 d 4MATIC 7G-DCT (117),5,130  (177),,V,41727,,,24950,23400,21100,,,,
CLA Shooting Brake 220 d 7G-DCT (117),5,130  (177),,V,39526,,,23900,22450,20200,,,,
CLA Coupé 180  (117),4,90  (122),,III,29215,,,,,17450,16450,16000,,
CLA Coupé 180 BlueEFFICIENCY Edition  (117),4,90  (122),,III,29215,,,,,17450,16450,16000,,
CLA Coupé 180  (117),4,90  (122),,III,29679,,,19750,18500,17650,,,,
CLA Coupé 180 BlueEFFICIENCY Edition  (117),4,90  (122),,III,29679,,,19750,18500,17650,,,,
CLA Coupé 200  (117),4,115,-156,III,32130,,,,,18850,17700,17050,,
CLA Coupé 200  (117),4,115,-156,III,32677,,,21850,20250,19150,,,,
CLA Coupé 220 4MATIC 7G-DCT (117),4,135  (184),,III,37235,,,24800,23250,21550,,,,
CLA Coupé 250  (117),4,155  (211),,III,36985,,,,,21200,19600,20100,,
CLA Coupé 250 4MATIC 7G-DCT (117),4,155  (211),,III,41364,,,,,23450,21600,20900,,
CLA Coupé 250 Sport 4MATIC 7G-DCT (117),4,155  (211),,III,44982,,,,,,23800,23100,,
CLA Coupé 250 Sport 7G-DCT (117),4,155  (211),,III,42781,,,,,,22950,22300,,
CLA Coupé 250  (117),4,155  (211),,III,37533,,,24500,22950,21050,,,,
CLA Coupé 250 4MATIC 7G-DCT (117),4,155  (211),,III,41817,,,27050,25350,23250,,,,
CLA Coupé 250 Sport  (117),4,160  (218),,III,40686,,,,,23150,21350,,,
CLA Coupé 250 Sport 4MATIC 7G-DCT (117),4,160  (218),,III,45065,,,,,25300,23350,,,
CLA Coupé 45 AMG 4MATIC SPEEDSHIFT DCT 7G-,4,265  (360),,III,56674,,,,,,29400,28450,,
TRONIC (117),,,,,,,,,,,,,,
CLA Coupé 45 AMG 4MATIC SPEEDSHIFT DCT 7G-,4,280  (381),,III,56674,,,,,32300,29700,,,
TRONIC (117),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 99 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
,Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
,Fahrzeug/Modell (Generation**),Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
,Mercedes-Benz,,,,,,,,,,,,,
,CLA Coupé 45 AMG 4MATIC SPEEDSHIFT DCT 7G-,4,280  (381),III,57209,,,38000,35200,32650,,,,
,TRONIC (117),,,,,,,,,,,,,
,CLA Coupé 180 d  (117),4,80  (109),V,31416,,,,,16350,14650,,,
,CLA Coupé 180 d  (117),4,80  (109),V,31963,,,18550,17850,15900,,,,
,CLA Coupé 180 d BlueEFFICIENCY Edition  (117),4,80  (109),V,31535,,,,17850,15900,,,,
,CLA Coupé 200 d  (117),4,100  (136),V,33945,,,,,17850,16300,,,
,CLA Coupé 200 d 4MATIC 7G-DCT (117),4,100  (136),V,38324,,,,,19900,18150,,,
,CLA Coupé 200 d  (117),4,100  (136),V,37490,,23950,22050,19300,17950,,,,
,CLA Coupé 220 d 4MATIC 7G-DCT (117),4,125  (170),V,42037,,27950,24850,,,,,,
,CLA Coupé 220 d 7G-DCT (117),4,125  (170),V,39835,,26750,23800,,,,,,
,CLA Coupé 220 d 4MATIC 7G-DCT (117),4,130  (177),V,40680,,,,,21400,18850,,,
,CLA Coupé 220 d 7G-DCT (117),4,130  (177),V,38479,,,,,20500,18100,,,
,CLA Shooting Brake 180  (118),5,100  (136),III,32213,,23650,,,,,,,
,CLA Shooting Brake 200  (118),5,120  (163),III,36491,29250,26350,,,,,,,
,CLA Shooting Brake 220 7G-DCT (118),5,140  (190),III,37878,,30150,,,,,,,
,CLA Shooting Brake 250 4MATIC 7G-DCT (118),5,165  (224),III,42447,,33350,,,,,,,
,CLA Shooting Brake 250 7G-DCT (118),5,165  (224),III,40246,,31650,,,,,,,
,CLA Shooting Brake 35 AMG 4MATIC SPEEDSHIFT,5,225  (306),III,50982,46050,41450,,,,,,,
DCT,7G (118),,,,,,,,,,,,,
,CLA Shooting Brake 45 AMG 4MATIC+ SPEEDSHIFT,5,285  (388),III,63159,54000,48650,,,,,,,
DCT,8G (118),,,,,,,,,,,,,
,CLA Shooting Brake 45 S AMG 4MATIC+ SPEEDSHIFT,5,310  (421),III,69585,59250,53400,,,,,,,
DCT,8G (118),,,,,,,,,,,,,
,CLA Shooting Brake 180 d  (118),5,85  (116),V,35801,27050,23000,,,,,,,
,CLA Shooting Brake 180 d  (118),5,85  (116),V,36729,27150,,,,,,,,
,CLA Shooting Brake 200 d  (118),5,110  (150),V,38395,30150,26900,,,,,,,
,CLA Shooting Brake 200 d 4MATIC 8G-DCT (118),5,110  (150),V,42810,32750,29200,,,,,,,
,CLA Shooting Brake 220 d 4MATIC 8G-DCT (118),5,140  (190),V,45625,34900,30850,,,,,,,
,CLA Shooting Brake 220 d 8G-DCT (118),5,140  (190),V,43423,33150,29250,,,,,,,
,CLA Shooting Brake 250 e 8G-DCT (118),5,160  (218),III,43191,29050,,,,,,,,
,CLA Coupé 180  (118),4,100  (136),III,31476,,23150,,,,,,,
,CLA Coupé 200  (118),4,120  (163),III,33588,,25750,,,,,,,
,CLA Coupé 200 4MATIC 8G-DCT (118),4,120  (163),III,40168,32750,,,,,,,,
,CLA Coupé 220 4MATIC 7G-DCT (118),4,140  (190),III,39341,,31350,,,,,,,
,CLA Coupé 220 7G-DCT (118),4,140  (190),III,37140,,29600,,,,,,,
,CLA Coupé 250 4MATIC 7G-DCT (118),4,165  (224),III,41710,,33100,,,,,,,
,CLA Coupé 250 7G-DCT (118),4,165  (224),III,39508,,31350,,,,,,,
,CLA Coupé 35 AMG 4MATIC SPEEDSHIFT DCT 7G (118),4,225  (306),III,50402,45500,41000,,,,,,,
,CLA Coupé 45 AMG 4MATIC+ SPEEDSHIFT DCT 8G,4,285  (388),III,62564,53450,48150,,,,,,,
-118,,,,,,,,,,,,,,
,CLA Coupé 45 S AMG 4MATIC+ SPEEDSHIFT DCT 8G,4,310  (421),III,68990,58750,52900,,,,,,,
-118,,,,,,,,,,,,,,
,CLA Coupé 180 d  (118),4,85  (116),V,34179,26500,22500,,,,,,,
,CLA Coupé 180 d  (118),4,85  (116),V,35992,26650,,,,,,,,
,CLA Coupé 200 d  (118),4,110  (150),V,37658,29550,26350,,,,,,,
,CLA Coupé 200 d 4MATIC 8G-DCT (118),4,110  (150),V,42072,33450,,,,,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 100 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,,
Mercedes-Benz,,,,,,,,,,,,,,
CLA Coupé 220 d 4MATIC 8G-DCT (118),4,140  (190),V,44887,34700,,,,,,,,,
CLA Coupé 220 d 8G-DCT (118),4,140  (190),V,42685,32550,28750,,,,,,,,
CLA Coupé 250 e 8G-DCT (118),4,160  (218),III,42453,28550,,,,,,,,,
CLS Shooting Brake 400 4MATIC 7G-TRONIC PLUS,5,245  (333),V,67949,,,39900,35900,32450,28100,25350,,,
-218,,,,,,,,,,,,,,
CLS Shooting Brake 400 7G-TRONIC PLUS (218),5,245  (333),V,65212,,,38300,34450,31100,26950,24350,,,
CLS Shooting Brake 500 4MATIC 7G-TRONIC PLUS,5,300  (408),V,85978,,,45450,40950,36600,32500,29250,,,
-218,,,,,,,,,,,,,,
CLS Shooting Brake 500 9G-TRONIC (218),5,300  (408),V,83241,,,44000,39650,35400,31150,28000,,,
CLS Shooting Brake 63 AMG 4MATIC SPEEDSHIFT,5,410  (557),V,122630,,,61750,55550,50800,45100,,,,
MCT (218),,,,,,,,,,,,,,
CLS Shooting Brake 63 AMG S 4MATIC SPEEDSHIFT,5,430  (585),V,133578,,,68550,61750,56300,49500,,,,
MCT (218),,,,,,,,,,,,,,
CLS Shooting Brake 220 BlueTEC 9G-TRONIC (218),5,125  (170),VI,56406,,,,,,21800,18850,,,
CLS Shooting Brake 220 d 9G-TRONIC (218),5,125  (170),VI,56585,,,31250,27850,24800,21800,,,,
CLS Shooting Brake 250 BlueTEC 4MATIC 7G-TRONIC,5,150  (204),VI,58786,,,,,,22050,19300,,,
PLUS (218),,,,,,,,,,,,,,
CLS Shooting Brake 250 BlueTEC 9G-TRONIC (218),5,150  (204),VI,61523,,,,,,23100,20200,,,
CLS Shooting Brake 250 d 4MATIC 7G-TRONIC PLUS,5,150  (204),VI,61702,,,33000,29350,26150,23100,,,,
-218,,,,,,,,,,,,,,
CLS Shooting Brake 250 d 9G-TRONIC (218),5,150  (204),VI,58965,,,31550,28050,24950,22050,,,,
CLS Shooting Brake 350 BlueTEC 4MATIC 7G-TRONIC,5,185  (252),VI,66521,,,,,,23950,21500,,,
PLUS (218),,,,,,,,,,,,,,
CLS Shooting Brake 350 BlueTEC 9G-TRONIC (218),5,190  (258),VI,63784,,,,,,23000,20000,,,
CLS Shooting Brake 350 d 4MATIC 9G-TRONIC (218),5,190  (258),VI,66700,,,35000,30500,27150,23950,,,,
CLS Shooting Brake 350 d 9G-TRONIC (218),5,190  (258),VI,63963,,,33550,29250,26050,23000,,,,
CLS Coupé 400 4MATIC 7G-TRONIC PLUS (218),4,245  (333),V,66164,,,37100,33400,30500,27050,24200,,,
CLS Coupé 400 7G-TRONIC PLUS (218),4,245  (333),V,63427,,,35550,32000,29200,25900,23200,,,
CLS Coupé 500 4MATIC 7G-TRONIC PLUS (218),4,300  (408),V,84788,,,46000,41400,36950,31950,28800,,,
CLS Coupé 500 9G-TRONIC (218),4,300  (408),V,82051,,,44500,40050,35750,30900,27850,,,
CLS Coupé 63 AMG 4MATIC SPEEDSHIFT MCT (218),4,410  (557),V,120547,,,,,,45400,39900,,,
CLS Coupé 63 AMG SPEEDSHIFT MCT (218),4,410  (557),V,116620,,,,,,43900,38600,,,
CLS Coupé 63 AMG S 4MATIC SPEEDSHIFT MCT (218),4,430  (585),V,131793,,,66200,59600,54900,48800,,,,
CLS Coupé 220 BlueTEC 9G-TRONIC (218),4,125  (170),VI,54502,,,,,,20900,18250,,,
CLS Coupé 220 d 9G-TRONIC (218),4,125  (170),VI,54800,,,29750,26450,23650,20900,,,,
CLS Coupé 250 BlueTEC 4MATIC 7G-TRONIC PLUS,4,150  (204),VI,59619,,,,,,22400,19650,,,
-218,,,,,,,,,,,,,,
CLS Coupé 250 BlueTEC 9G-TRONIC (218),4,150  (204),VI,56882,,,,,,21350,18750,,,
CLS Coupé 250 d 4MATIC 7G-TRONIC PLUS (218),4,150  (204),VI,59917,,,32100,28550,25400,22400,,,,
CLS Coupé 250 d 9G-TRONIC (218),4,150  (204),VI,57180,,,30600,27250,24250,21400,,,,
CLS Coupé 350 BlueTEC 4MATIC 7G-TRONIC PLUS,4,185  (252),VI,64617,,,,,,23300,20900,,,
-218,,,,,,,,,,,,,,
CLS Coupé 350 BlueTEC 9G-TRONIC (218),4,190  (258),VI,61880,,,,,,22450,20050,,,
CLS Coupé 350 d 4MATIC 9G-TRONIC (218),4,190  (258),VI,64915,,,34750,30300,26950,23450,,,,
CLS Coupé 350 d 9G-TRONIC (218),4,190  (258),VI,62178,,,33300,29000,25800,22450,,,,
CLS Coupé 350 9G-TRONIC (257),4,230  (313),V,63469,,44150,40500,,,,,,,
CLS Coupé 450 4MATIC 9G-TRONIC (257),4,286  (388),V,70906,,50800,46700,,,,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 101 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,,
Mercedes-Benz,,,,,,,,,,,,,,
CLS Coupé 450 EQ Boost 4MATIC 9G-TRONIC (257),4,286  (388),V,70906,,,46700,,,,,,,
CLS Coupé 450 Avantgarde 4MATIC 9G-TRONIC (257),4,286  (388),V,72501,56550,,,,,,,,,
CLS Coupé 53 AMG 4MATIC+ SPEEDSHIFT TCT 9G-,4,336  (457),V,85049,73000,65750,61100,,,,,,,
TRONIC (257),,,,,,,,,,,,,,
CLS Coupé 53 AMG 4MATIC+ SPEEDSHIFT TCT 9G-,4,336  (457),V,86352,74150,,,,,,,,,
TRONIC (257),,,,,,,,,,,,,,
CLS Coupé 220 d 9G-TRONIC (257),4,143  (194),VI,57792,,42350,,,,,,,,
CLS Coupé 220 d Avantgarde 9G-TRONIC (257),4,143  (194),VI,59387,47200,,,,,,,,,
CLS Coupé 300 d 9G-TRONIC (257),4,180  (245),VI,61190,,43550,39900,,,,,,,
CLS Coupé 350 d 4MATIC 9G-TRONIC (257),4,210  (286),VI,68128,,,42700,,,,,,,
CLS Coupé 300 d Avantgarde 4MATIC 9G-TRONIC,4,210  (285),VI,66057,52350,,,,,,,,,
-257,,,,,,,,,,,,,,
CLS Coupé 400 d Avantgarde 4MATIC 9G-TRONIC,4,243  (330),VI,74101,57500,,,,,,,,,
-257,,,,,,,,,,,,,,
CLS Coupé 400 d 4MATIC 9G-TRONIC (257),4,250  (340),VI,72507,,,47650,,,,,,,
E 200 Coupé  (207),3,135  (184),V,43554,,,,21750,20050,18050,16750,,,
E 250 Coupé 7G-TRONIC PLUS (207),3,155  (211),V,48255,,,,23350,21750,19900,18500,,,
E 320 Coupé 7G-TRONIC PLUS (207),3,200  (272),V,52717,,,,25900,24150,21950,20000,,,
E 400 Coupé 7G-TRONIC PLUS (207),3,245  (333),V,57358,,,,28000,26150,23650,21350,,,
E 220 BlueTEC Coupé  (207),3,125  (170),VI,45399,,,,,,16600,15150,,,
E 220 d Coupé  (207),3,125  (170),VI,45756,,,,19450,18550,16600,,,,
E 250 BlueTEC Coupé  (207),3,150  (204),VI,48076,,,,,,17700,16150,,,
E 250 d Coupé  (207),3,150  (204),VI,48433,,,,20900,19900,17700,,,,
E 350 BlueTEC Coupé 9G-TRONIC (207),3,190  (258),VI,53848,,,,,,20200,18650,,,
E 350 d Coupé 9G-TRONIC (207),3,190  (258),VI,54205,,,,24100,22150,20200,,,,
E 200 Cabriolet  (207),2,135  (184),V,48493,,,,23800,22250,20000,18450,,,
E 250 Cabriolet 7G-TRONIC PLUS (207),2,155  (211),V,52777,,,,26350,24400,22150,20050,,,
E 400 Cabriolet 7G-TRONIC PLUS (207),2,245  (333),V,61880,,,,31300,28650,25950,24000,,,
E 220 BlueTEC Cabriolet  (207),2,125  (170),VI,49921,,,,,,19250,17550,,,
E 220 d Cabriolet  (207),2,125  (170),VI,50278,,,,23200,21100,19250,,,,
E 250 BlueTEC Cabriolet  (207),2,150  (204),VI,52598,,,,,,20150,17750,,,
E 250 d Cabriolet  (207),2,150  (204),VI,52955,,,,24300,22250,20150,,,,
E 350 BlueTEC Cabriolet 9G-TRONIC (207),2,190  (258),VI,58727,,,,,,22750,21000,,,
E 200  (212),4,135  (184),V,42424,,,,,20450,18800,17150,,,
E 250 7G-TRONIC PLUS (212),4,155  (211),V,47481,,,,,24100,21400,19250,,,
E 400 4MATIC 7G-TRONIC PLUS (212),4,245  (333),V,59619,,,,,27800,24750,24000,,,
E 400 7G-TRONIC PLUS (212),4,245  (333),V,56882,,,,,25800,22950,22250,,,
E 63 AMG 4MATIC SPEEDSHIFT MCT 7G-TRONIC (212),4,410  (557),V,107636,,,,,46100,43100,38450,,,
E 63 AMG S 4MATIC SPEEDSHIFT MCT 7G-TRONIC,4,430  (585),V,119060,,,,,50500,47200,42350,,,
-212,,,,,,,,,,,,,,
E 200 BlueTEC  (212),4,100  (136),VI,41412,,,,,16900,16100,14450,,,
E 220 BlueTEC  (212),4,125  (170),VI,44387,,,,,20300,17950,15500,,,
E 220 BlueTEC 4MATIC 7G-TRONIC (212),4,125  (170),VI,49683,,,,,23800,20950,,,,
E 220 BlueTEC BlueEFFICIENCY Edition  (212),4,125  (170),VI,46333,,,,,20400,18050,15550,,,
E 250 BlueTEC  (212),4,150  (204),VI,47422,,,,,17850,15900,14200,,,
